state,district,candidate,type,chamber,2006,2007,2008,2009,2010_2012,2010_2014,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,Next ID
alabama,3,Adia Winfrey,Rep,,,,,,,,,,,,,,,,,,116,,,1,,0,,4587
alabama,1,Alexander Remrey,Rep,,,,,,,,,,,,,,,,,,,,142,4132,,0,,
alabama,6,Andria Chieffo,Rep,,,,,,,,,,,,,,,,,,,,139,4133,,0,,
alabama,6,Artur Davis,Rep,,,,,,1,,,,,,,,,,,,,,,2,D000602,1,,
alabama,7,Artur Davis,Rep,House,41,16,29,26,20,,97,,,,,,,,,,,,,2,D000602,6,,
alabama,6,Avery Vise,Rep,,,,,,,19,,,,,100,,,,,,,,,3,,2,,
alabama,4,Barbara Bobo,Rep,,69,,,,,,,,,,,,,,,,,,,4,,1,,
alabama,2,Barry Moore,Rep,House,,,,,,,,,,,,,,,,,134,49,134,5,M001212,0,,
alabama,7,Beatrice Nichols,Rep,,,,,,,,,,,,,,,,,,,,140,4134,,0,,
alabama,0,Bob Riley,Gov,,482,,,,,,669,,,,,,,,,,,,,6,R000258,2,,
alabama,2,Bobby Bright,Rep,,,,41,23,,,,,,,,,,,,,,,,7,B001264,2,,
alabama,2,"Bobby Bright, Sr.",Rep,,,,,,21,,83,,,,,,,,,,,,,7,B001264,2,,
alabama,1,Bradley Byrne,Rep,House,,,,,,17,,,,,115,26,104,43,129,38,132,,,8,B001289,6,,
alabama,5,Bud Cramer,Rep,,,24,,,,,,,,,,,,,,,,,,9,C000868,1,,
alabama,1,Burton LeFLore,Rep,,,,,,,17,,,,,115,,,,,,,,,10,,2,,
alabama,2,"Charles ""Chuck"" Dean James",Rep,,74,,,,,,,,,,,,,,,,,,,11,,1,,
alabama,5,Charlie Holley,Rep,,,,,,42,,,,103,,,,,,,,,,,12,,2,,
alabama,5,Dale Strong,Rep,House,,,,,,,,,,,,,,,,,,,137,4135,S001220,0,,
alabama,4,Daniel Boman,Rep,,,,,,30,,,,94,,,,,,,,,,,13,,2,,
alabama,6,Danner Kline,Rep,,,,,,,,,,,,,,,,145,,,,,14,,1,,
alabama,6,David J. Putman,Rep,,,,,,,,,,,,,,103,,,,,,,15,,1,,
