candidate_id,candidate,year,candidate_ratings,candidate_mean,candidate_sd,first_instance,theta_id,past_id,rating_type
3,Rodney Frelinghuysen,2010,118,5.194915254237288,1.1036727696651583,1,31,0,Ordered
3,Rodney Frelinghuysen,2011,36,5.138888888888889,1.5334886049747163,0,32,0,Ordered
3,Rodney Frelinghuysen,2012,157,5.254777070063694,1.1707134500102705,0,33,0,Ordered
3,Rodney Frelinghuysen,2013,29,4.862068965517241,0.9900987660342088,0,34,0,Ordered
3,Rodney Frelinghuysen,2014,126,5.079365079365079,1.1565685425649423,0,35,0,Ordered
3,Rodney Frelinghuysen,2015,16,5.1875,1.6007810593582121,0,36,0,Ordered
3,Rodney Frelinghuysen,2016,117,5.264957264957265,1.3221792511970165,0,37,0,Ordered
3,Rodney Frelinghuysen,2017,35,5.285714285714286,1.4260481918147616,0,38,0,Ordered
3,Rodney Frelinghuysen,2018,102,5.401960784313726,1.252797297152989,0,39,0,Ordered
4,Jim McDermott,2010,133,1.9022556390977443,1.1797833754301867,1,40,0,Ordered
4,Jim McDermott,2011,45,2.422222222222222,1.4220486005134358,0,41,0,Ordered
4,Jim McDermott,2012,230,2.052173913043478,1.2596768023894345,0,42,0,Ordered
4,Jim McDermott,2013,36,2.361111111111111,1.6239770895248453,0,43,0,Ordered
4,Jim McDermott,2014,153,2.248366013071896,1.4108650097296318,0,44,0,Ordered
4,Jim McDermott,2015,23,1.956521739130435,1.330695678260921,0,45,0,Ordered
4,Jim McDermott,2016,148,2.885135135135134,1.6964294181397335,0,46,0,Ordered
5,Jeff Flake,2010,153,5.633986928104575,1.1851695081235822,1,47,0,Ordered
5,Jeff Flake,2011,55,5.6909090909090905,0.9976403135831046,0,48,0,Ordered
5,Jeff Flake,2012,1807,5.75318206972883,1.2108587699403484,0,49,0,Ordered
5,Jeff Flake,2013,291,5.237113402061856,1.5274942014199238,0,50,0,Ordered
5,Jeff Flake,2014,1312,5.28658536585366,1.4478590687174304,0,51,0,Ordered
5,Jeff Flake,2015,239,5.221757322175732,1.5383703889067377,0,52,0,Ordered
5,Jeff Flake,2016,1074,4.817504655493483,1.5721928081441487,0,53,0,Ordered
5,Jeff Flake,2017,331,4.444108761329305,1.9397875641924645,0,54,0,Ordered
5,Jeff Flake,2018,1343,4.625465376023828,1.7620373919404047,0,55,0,Ordered
6,Morgan Spencer,2012,55,3.5454545454545454,1.4884516167777222,1,56,0,Ordered
7,Matt Salmon,2012,124,5.637096774193548,1.1067764473369293,1,57,0,Ordered
7,Matt Salmon,2013,21,5.523809523809524,1.2090925365350509,0,58,0,Ordered
7,Matt Salmon,2014,129,5.682170542635658,1.138697831708651,0,59,0,Ordered
7,Matt Salmon,2015,27,5.814814814814815,1.0391208205844398,0,60,0,Ordered
7,Matt Salmon,2016,85,5.6117647058823525,1.235334133005345,0,61,0,Ordered
8,Jessica Ehrlich,2012,113,3.0442477876106198,1.4539931502281023,1,62,0,Ordered
9,C.W. Bill Young,2010,146,5.3561643835616435,1.1670163904377295,1,63,0,Ordered
9,C.W. Bill Young,2011,58,5.413793103448276,1.426989012099728,0,64,0,Ordered
9,C.W. Bill Young,2012,214,5.317757009345795,1.2971484134076705,0,65,0,Ordered
10,James R. Langevin,2010,85,2.3529411764705883,1.1202240672224075,1,66,0,Ordered
10,James R. Langevin,2011,32,2.84375,1.5050318826330342,0,67,0,Ordered
10,James R. Langevin,2012,140,2.9500000000000006,1.420937981828003,0,68,0,Ordered
10,James R. Langevin,2013,31,2.806451612903226,1.3764532886785434,0,69,0,Ordered
10,James R. Langevin,2014,96,2.8645833333333335,1.2364617742972264,0,70,0,Ordered
10,James R. Langevin,2015,15,2.8,1.6987390281365427,0,71,0,Ordered
10,James R. Langevin,2016,77,3.0779220779220777,1.4397206761824337,0,72,0,Ordered
10,James R. Langevin,2017,20,2.65,1.3869694338832113,0,73,0,Ordered
10,James R. Langevin,2018,66,2.9090909090909087,1.3442444000229299,0,74,0,Ordered
10,James R. Langevin,2019,29,2.7241379310344827,1.4855627054164149,0,75,0,Ordered
10,James R. Langevin,2020,78,2.8974358974358974,1.575706344104283,0,76,0,Ordered
10,James R. Langevin,2021,23,2.9565217391304346,1.8210451761548472,0,77,0,Ordered
10,James R. Langevin,2022,64,2.96875,1.5219948271818318,0,78,0,Ordered
11,Micahel G. Riley,2012,72,5.263888888888889,1.2102037490608766,1,79,0,Ordered
12,Eleanor Holmes Norton,2010,144,2.5277777777777772,1.3429142948895902,1,80,0,Ordered
12,Eleanor Holmes Norton,2011,44,2.8409090909090913,1.4932901370476555,0,81,0,Ordered
12,Eleanor Holmes Norton,2012,131,2.2519083969465647,1.0908254563218256,0,82,0,Ordered
12,Eleanor Holmes Norton,2013,30,2.2666666666666666,1.5742175578808124,0,83,0,Ordered
12,Eleanor Holmes Norton,2014,118,2.6440677966101696,1.4994325064897658,0,84,0,Ordered
12,Eleanor Holmes Norton,2015,30,2.6333333333333337,1.5196036990935664,0,85,0,Ordered
12,Eleanor Holmes Norton,2016,153,2.633986928104575,1.7042965595769686,0,86,0,Ordered
12,Eleanor Holmes Norton,2017,43,1.930232558139535,1.0996828295383152,0,87,0,Ordered
12,Eleanor Holmes Norton,2018,110,2.2,1.339587777207614,0,88,0,Ordered
12,Eleanor Holmes Norton,2019,40,2.625,1.5962696899574718,0,89,0,Ordered
12,Eleanor Holmes Norton,2020,163,2.5705521472392636,1.2860568750425185,0,90,0,Ordered
12,Eleanor Holmes Norton,2021,74,2.2837837837837833,1.1647831272095515,0,91,0,Ordered
12,Eleanor Holmes Norton,2022,124,2.6774193548387095,1.6554830655839858,0,92,0,Ordered
12,Eleanor Holmes Norton,2023,44,3.1136363636363638,1.7147229634660033,0,93,0,Ordered
12,Eleanor Holmes Norton,2024,136,2.3308823529411766,1.2356143894395115,0,94,0,Ordered
13,Bruce Majors,2012,28,4.785714285714286,2.006602857183012,1,95,0,Ordered
14,Jackie Speier,2010,92,2.4891304347826084,1.1434915224524795,1,96,0,Ordered
14,Jackie Speier,2011,27,2.5185185185185186,0.9754829324836757,0,97,0,Ordered
14,Jackie Speier,2012,138,2.666666666666667,1.173511377776667,0,98,0,Ordered
14,Jackie Speier,2013,21,2.2857142857142856,1.3093073414159542,0,99,0,Ordered
14,Jackie Speier,2014,92,2.7608695652173916,1.2258171996572866,0,100,0,Ordered
14,Jackie Speier,2015,21,2.5714285714285716,0.9783367810436532,0,101,0,Ordered
14,Jackie Speier,2016,122,2.8606557377049184,1.2940778890713407,0,102,0,Ordered
14,Jackie Speier,2017,26,2.5,1.2083045973594573,0,103,0,Ordered
14,Jackie Speier,2018,85,2.588235294117647,1.1679664628161652,0,104,0,Ordered
14,Jackie Speier,2019,12,2.1666666666666665,1.2673044646258476,0,105,0,Ordered
14,Jackie Speier,2020,82,2.597560975609756,1.1952556015456262,0,106,0,Ordered
14,Jackie Speier,2021,30,2.566666666666667,1.165105688067746,0,107,0,Ordered
14,Jackie Speier,2022,39,2.7948717948717947,1.4175495383432706,0,108,0,Ordered
15,Nancy Pelosi,2010,109,2.486238532110092,1.3717701385239334,1,109,0,Ordered
15,Nancy Pelosi,2011,39,2.5641025641025643,1.29360515807307,0,110,0,Ordered
15,Nancy Pelosi,2012,162,2.54320987654321,1.4621466624489292,0,111,0,Ordered
15,Nancy Pelosi,2013,22,2.7272727272727275,1.5790840679034455,0,112,0,Ordered
15,Nancy Pelosi,2014,148,2.7837837837837838,1.5410065645038924,0,113,0,Ordered
15,Nancy Pelosi,2015,22,3,1.5430334996209192,0,114,0,Ordered
15,Nancy Pelosi,2016,146,2.897260273972603,1.4935699055701253,0,115,0,Ordered
15,Nancy Pelosi,2017,40,2.65,1.3502136583063153,0,116,0,Ordered
15,Nancy Pelosi,2018,128,2.6953125,1.4283881877699178,0,117,0,Ordered
15,Nancy Pelosi,2019,47,3.106382978723404,1.448147880888333,0,118,0,Ordered
15,Nancy Pelosi,2020,131,2.946564885496183,1.272870632735536,0,119,0,Ordered
15,Nancy Pelosi,2021,57,2.824561403508772,1.351227048404839,0,120,0,Ordered
15,Nancy Pelosi,2022,131,2.8091603053435117,1.342297134460715,0,121,0,Ordered
15,Nancy Pelosi,2023,80,2.925,1.6594569799649617,0,122,0,Ordered
15,Nancy Pelosi,2024,114,2.6491228070175437,1.3033819599248473,0,123,0,Ordered
16,John Dennis,2010,46,5.0434782608695645,1.5341522702801689,1,124,0,Ordered
16,John Dennis,2011,NA,NA,NA,0,125,0,Ordered
16,John Dennis,2012,46,4.869565217391305,1.3099397043320382,0,126,0,Ordered
16,John Dennis,2013,NA,NA,NA,0,127,0,Ordered
16,John Dennis,2014,65,5.353846153846154,1.4079103446106003,0,128,0,Ordered
16,John Dennis,2015,NA,NA,NA,0,129,0,Ordered
16,John Dennis,2016,NA,NA,NA,0,130,0,Ordered
16,John Dennis,2017,NA,NA,NA,0,131,0,Ordered
16,John Dennis,2018,NA,NA,NA,0,132,0,Ordered
16,John Dennis,2019,NA,NA,NA,0,133,0,Ordered
16,John Dennis,2020,NA,NA,NA,0,134,0,Ordered
16,John Dennis,2021,NA,NA,NA,0,135,0,Ordered
16,John Dennis,2022,43,4.325581395348837,1.8988835094609593,0,136,0,Ordered
17,Walter B. Jones,2010,78,5.397435897435898,1.1770505025052598,1,137,0,Ordered
17,Walter B. Jones,2011,26,5.3076923076923075,1.4904826270501985,0,138,0,Ordered
17,Walter B. Jones,2012,124,5.274193548387097,1.1779733849148688,0,139,0,Ordered
17,Walter B. Jones,2013,15,5.266666666666667,1.533747356112131,0,140,0,Ordered
17,Walter B. Jones,2014,101,5.356435643564357,1.1626190985515557,0,141,0,Ordered
17,Walter B. Jones,2015,24,5.708333333333333,1.458980187804412,0,142,0,Ordered
17,Walter B. Jones,2016,93,5.376344086021506,1.5316514140727164,0,143,0,Ordered
17,Walter B. Jones,2017,26,5.423076923076923,1.1721118350422683,0,144,0,Ordered
17,Walter B. Jones,2018,83,4.975903614457831,1.3790762515791875,0,145,0,Ordered
18,John Sullivan,2010,108,5.87962962962963,1.1497061192362192,1,146,0,Ordered
18,John Sullivan,2011,36,5.833333333333334,1.1832159566199234,0,147,0,Ordered
18,John Sullivan,2012,154,5.6688311688311686,1.1994290297693846,0,148,0,Ordered
19,John Olson,2012,108,3.7037037037037037,1.4804600147634035,1,149,0,Ordered
20,Jim Bridenstine,2012,129,6.155038759689923,0.8790052296763936,1,150,0,Ordered
20,Jim Bridenstine,2013,31,5.870967741935484,1.3842431261371915,0,151,0,Ordered
20,Jim Bridenstine,2014,116,6.198275862068966,1.1050856947782823,0,152,0,Ordered
20,Jim Bridenstine,2015,14,6.714285714285714,0.6112498455021266,0,153,0,Ordered
20,Jim Bridenstine,2016,98,6.081632653061225,1.281698851579138,0,154,0,Ordered
20,Jim Bridenstine,2017,27,5.407407407407407,1.6468912265995932,0,155,0,Ordered
21,Lamar Smith,2010,163,6.006134969325154,1.0743756873055628,1,156,0,Ordered
21,Lamar Smith,2011,60,5.95,1.1263410086632775,0,157,0,Ordered
21,Lamar Smith,2012,268,5.727611940298506,1.2438849249522883,0,158,0,Ordered
21,Lamar Smith,2013,26,5.730769230769231,1.484794728107352,0,159,0,Ordered
21,Lamar Smith,2014,154,5.5649350649350655,1.1711416957707856,0,160,0,Ordered
21,Lamar Smith,2015,23,5.739130434782608,1.5438261590885698,0,161,0,Ordered
21,Lamar Smith,2016,111,5.711711711711712,1.3577212686730091,0,162,0,Ordered
21,Lamar Smith,2017,42,5.809523809523809,1.3834931970373212,0,163,0,Ordered
21,Lamar Smith,2018,109,5.706422018348624,1.3284825114446956,0,164,0,Ordered
22,Henry Cuellar,2010,61,3.0327868852459017,1.4715888591898907,1,165,0,Ordered
22,Henry Cuellar,2011,33,2.909090909090909,1.2590580894967767,0,166,0,Ordered
22,Henry Cuellar,2012,142,3.2323943661971826,1.6008220094013077,0,167,0,Ordered
22,Henry Cuellar,2013,13,4.153846153846154,1.6756169931378435,0,168,0,Ordered
22,Henry Cuellar,2014,50,3.58,1.45812291970862,0,169,0,Ordered
22,Henry Cuellar,2015,9,3,1.8027756377319946,0,170,0,Ordered
22,Henry Cuellar,2016,44,3.5681818181818183,1.5906372464815135,0,171,0,Ordered
22,Henry Cuellar,2017,11,3.1818181818181817,1.6011359603844901,0,172,0,Ordered
22,Henry Cuellar,2018,65,3.4307692307692306,1.7317732130791441,0,173,0,Ordered
22,Henry Cuellar,2019,21,3.4761904761904763,1.9904534061124775,0,174,0,Ordered
22,Henry Cuellar,2020,49,3.7551020408163263,1.785714285714286,0,175,0,Ordered
22,Henry Cuellar,2021,28,3.9285714285714284,1.5853162186855696,0,176,0,Ordered
22,Henry Cuellar,2022,98,3.7653061224489797,1.6105388763805923,0,177,0,Ordered
22,Henry Cuellar,2023,39,3.41025641025641,1.6657217294290299,0,178,0,Ordered
22,Henry Cuellar,2024,96,3.5,1.4363696929192158,0,179,0,Ordered
23,William Hayward,2012,25,4.4,1.5275252316519468,1,180,0,Ordered
24,Anna Eshoo,2010,92,2.532608695652174,1.2877366374364292,1,181,0,Ordered
24,Anna Eshoo,2011,32,2.75,1.1639753904947558,0,182,0,Ordered
24,Anna Eshoo,2012,145,2.3862068965517245,1.0286601783155156,0,183,0,Ordered
24,Anna Eshoo,2013,18,2.9444444444444446,1.4337208778404378,0,184,0,Ordered
24,Anna Eshoo,2014,108,2.5370370370370368,1.139157960262106,0,185,0,Ordered
24,Anna Eshoo,2015,20,2.25,0.910465468000326,0,186,0,Ordered
24,Anna Eshoo,2016,84,3.0119047619047614,1.5483691196156886,0,187,0,Ordered
24,Anna Eshoo,2017,35,2.342857142857143,1.3707631438868844,0,188,0,Ordered
24,Anna Eshoo,2018,83,2.228915662650602,1.0160336705197022,0,189,0,Ordered
24,Anna Eshoo,2019,24,2.5,1.1420804814403216,0,190,0,Ordered
24,Anna Eshoo,2020,73,2.684931506849315,1.3110292005474076,0,191,0,Ordered
24,Anna Eshoo,2021,29,2.4482758620689653,1.0551305571401284,0,192,0,Ordered
24,Anna Eshoo,2022,47,2.74468085106383,1.3427435429063328,0,193,0,Ordered
24,Anna Eshoo,2023,28,2.4642857142857144,1.1700630833624395,0,194,0,Ordered
24,Anna Eshoo,2024,49,2.4693877551020407,1.0021235955111882,0,195,0,Ordered
25,Peter Welch,2010,79,2.670886075949367,1.2270615200691466,1,196,0,Ordered
25,Peter Welch,2011,54,2.685185185185185,1.2562909480655642,0,197,0,Ordered
25,Peter Welch,2012,171,2.637426900584795,1.1466587467026745,0,198,0,Ordered
25,Peter Welch,2013,42,2.261904761904762,0.9385906354489059,0,199,0,Ordered
25,Peter Welch,2014,118,2.7372881355932206,1.3985827142418075,0,200,0,Ordered
25,Peter Welch,2015,22,2.772727272727273,1.5097088392205893,0,201,0,Ordered
25,Peter Welch,2016,95,2.9157894736842107,1.310052442467734,0,202,0,Ordered
25,Peter Welch,2017,31,2.6774193548387095,1.0128210363202885,0,203,0,Ordered
25,Peter Welch,2018,101,2.376237623762376,1.0849099976358858,0,204,0,Ordered
25,Peter Welch,2019,31,2.4193548387096775,1.0885523582075138,0,205,0,Ordered
25,Peter Welch,2020,113,2.601769911504425,1.1063116246665377,0,206,0,Ordered
25,Peter Welch,2021,52,2.5576923076923075,1.0921010787533256,0,207,0,Ordered
25,Peter Welch,2022,95,2.6315789473684212,1.1764771753981986,0,208,0,Ordered
25,Peter Welch,2023,38,2.394736842105263,1.498458192911391,0,209,0,Ordered
25,Peter Welch,2024,102,2.5392156862745097,1.0960917847258882,0,210,0,Ordered
26,Henry Waxman,2010,121,2.1074380165289255,1.3404082269502942,1,211,0,Ordered
26,Henry Waxman,2011,34,2.4705882352941178,1.1074210859811093,0,212,0,Ordered
26,Henry Waxman,2012,186,2.3010752688172045,1.1926345693151785,0,213,0,Ordered
26,Henry Waxman,2013,42,2.5238095238095237,1.4523000301136333,0,214,0,Ordered
26,Henry Waxman,2014,122,2.491803278688524,1.533353164774197,0,215,0,Ordered
27,Yvette D. Clarke,2010,59,2.796610169491525,1.5400365089374715,1,216,0,Ordered
27,Yvette D. Clarke,2011,27,2.851851851851852,1.5860862257990627,0,217,0,Ordered
27,Yvette D. Clarke,2012,88,2.829545454545454,1.584563400537804,0,218,0,Ordered
27,Yvette D. Clarke,2013,16,2.8125,1.558578412100805,0,219,0,Ordered
27,Yvette D. Clarke,2014,77,3.116883116883117,1.5809226650917116,0,220,0,Ordered
27,Yvette D. Clarke,2015,15,2.933333333333333,1.624221425205085,0,221,0,Ordered
27,Yvette D. Clarke,2016,89,3.404494382022472,1.6632327580210902,0,222,0,Ordered
27,Yvette D. Clarke,2017,22,2.909090909090909,1.540225429050687,0,223,0,Ordered
27,Yvette D. Clarke,2018,68,2.8235294117647056,1.4654343400822116,0,224,0,Ordered
27,Yvette D. Clarke,2019,21,3.3333333333333335,1.9321835661585918,0,225,0,Ordered
27,Yvette D. Clarke,2020,87,2.689655172413793,1.4809671951801229,0,226,0,Ordered
27,Yvette D. Clarke,2021,32,3.03125,1.6359741105294363,0,227,0,Ordered
27,Yvette D. Clarke,2022,87,2.942528735632184,1.4891571038606424,0,228,0,Ordered
27,Yvette D. Clarke,2023,29,3.1724137931034484,1.4655317298617345,0,229,0,Ordered
27,Yvette D. Clarke,2024,48,2.3333333333333335,1.2261917057665903,0,230,0,Ordered
28,Diana DeGette,2010,116,2.2586206896551726,1.3712621266883855,1,231,0,Ordered
28,Diana DeGette,2011,49,2.5918367346938775,1.5127013274676695,0,232,0,Ordered
28,Diana DeGette,2012,168,2.3928571428571432,1.4101246994831294,0,233,0,Ordered
28,Diana DeGette,2013,33,2.484848484848485,1.1489454980875973,0,234,0,Ordered
28,Diana DeGette,2014,127,2.4251968503937014,1.3945454117334535,0,235,0,Ordered
28,Diana DeGette,2015,18,2.388888888888889,1.2897281468629183,0,236,0,Ordered
28,Diana DeGette,2016,105,2.79047619047619,1.4786638855557699,0,237,0,Ordered
28,Diana DeGette,2017,31,2.7096774193548385,1.487583014761345,0,238,0,Ordered
28,Diana DeGette,2018,124,2.4112903225806455,1.3555792376320468,0,239,0,Ordered
28,Diana DeGette,2019,42,2.4285714285714284,1.3093073414159542,0,240,0,Ordered
28,Diana DeGette,2020,119,2.5126050420168067,1.234157547139264,0,241,0,Ordered
28,Diana DeGette,2021,48,2.75,1.0817637292669073,0,242,0,Ordered
28,Diana DeGette,2022,86,2.72093023255814,1.476491571185262,0,243,0,Ordered
28,Diana DeGette,2023,34,2.8823529411764706,1.3654770701969008,0,244,0,Ordered
28,Diana DeGette,2024,91,2.8461538461538463,1.2903322304574376,0,245,0,Ordered
29,Kristin Cabral,2012,60,2.8833333333333333,1.3665702046707244,1,246,0,Ordered
30,Frank Wolf,2010,101,5.475247524752476,0.9229740993759317,1,247,0,Ordered
30,Frank Wolf,2011,53,5.566037735849057,0.7723449299738516,0,248,0,Ordered
30,Frank Wolf,2012,195,5.410256410256411,1.1103530765182046,0,249,0,Ordered
30,Frank Wolf,2013,26,5.230769230769231,1.2428255648381972,0,250,0,Ordered
30,Frank Wolf,2014,113,5.415929203539823,1.107810450818691,0,251,0,Ordered
31,Kathy Hochul,2011,34,3.2058823529411766,1.4094789874428,1,252,0,Ordered
31,Kathy Hochul,2012,218,2.8256880733944953,1.2245118406432558,0,253,0,Ordered
31,Kathy Hochul,2013,NA,NA,NA,0,254,0,Ordered
31,Kathy Hochul,2014,NA,NA,NA,0,255,0,Ordered
31,Kathy Hochul,2015,NA,NA,NA,0,256,0,Ordered
31,Kathy Hochul,2016,NA,NA,NA,0,257,0,Ordered
31,Kathy Hochul,2017,NA,NA,NA,0,258,0,Ordered
31,Kathy Hochul,2018,NA,NA,NA,0,259,0,Ordered
31,Kathy Hochul,2019,NA,NA,NA,0,260,0,Ordered
31,Kathy Hochul,2020,NA,NA,NA,0,261,0,Ordered
31,Kathy Hochul,2021,1078,2.913729128014842,1.3390003092377178,0,262,0,Ordered
31,Kathy Hochul,2022,2972,2.698519515477793,1.4601025731165573,0,263,0,Ordered
31,Kathy Hochul,2023,1445,2.985467128027683,1.6401926297435943,0,264,0,Ordered
31,Kathy Hochul,2024,2839,2.659034871433603,1.3883063631562713,0,265,0,Ordered
32,Chris Collins,2012,139,5.438848920863309,1.3248741144118876,1,266,0,Ordered
32,Chris Collins,2013,36,5.166666666666667,1.6647608150808244,0,267,0,Ordered
32,Chris Collins,2014,116,5.405172413793103,1.134275852315224,0,268,0,Ordered
32,Chris Collins,2015,29,4.862068965517241,1.7055400889670964,0,269,0,Ordered
32,Chris Collins,2016,113,5.1415929203539825,1.4006838676490447,0,270,0,Ordered
32,Chris Collins,2017,32,5.71875,1.300976680260121,0,271,0,Ordered
32,Chris Collins,2018,129,5.596899224806202,1.4974946778127531,0,272,0,Ordered
33,Christopher Lee,2010,96,5.40625,0.9012053332241099,1,273,0,Ordered
33,Christopher Lee,2011,NA,NA,NA,0,274,0,Ordered
33,Christopher Lee,2012,46,5.478260869565218,0.936640104837679,0,275,0,Ordered
34,Jim Gerlach,2010,128,5.46875,1.1497175277870593,1,276,0,Ordered
34,Jim Gerlach,2011,26,5.423076923076923,1.0265700920278917,0,277,0,Ordered
34,Jim Gerlach,2012,196,5.403061224489796,1.1572694725645245,0,278,0,Ordered
34,Jim Gerlach,2013,24,5.458333333333333,1.4135729219948654,0,279,0,Ordered
34,Jim Gerlach,2014,131,4.977099236641221,1.344307936649143,0,280,0,Ordered
35,Allyson Schwartz,2010,115,2.269565217391304,1.4223882753302985,1,281,0,Ordered
35,Allyson Schwartz,2011,41,2.3170731707317076,1.2336738708071089,0,282,0,Ordered
35,Allyson Schwartz,2012,166,2.3975903614457836,1.3964436130802416,0,283,0,Ordered
35,Allyson Schwartz,2013,25,2.4,0.9574271077563381,0,284,0,Ordered
35,Allyson Schwartz,2014,116,2.586206896551724,1.4450453010334936,0,285,0,Ordered
36,Peter T. King,2010,99,5.535353535353535,1.1456495467382055,1,286,0,Ordered
36,Peter T. King,2011,30,5.4,1.069966161243848,0,287,0,Ordered
36,Peter T. King,2012,180,5.677777777777778,1.1562584406724656,0,288,0,Ordered
36,Peter T. King,2013,11,4.909090909090909,1.6403990645294488,0,289,0,Ordered
36,Peter T. King,2014,94,5.468085106382978,1.1042647304109454,0,290,0,Ordered
36,Peter T. King,2015,18,5.444444444444445,1.6880975098063438,0,291,0,Ordered
36,Peter T. King,2016,96,5.385416666666666,1.292649597708575,0,292,0,Ordered
36,Peter T. King,2017,19,4.526315789473684,1.5043795713638368,0,293,0,Ordered
36,Peter T. King,2018,83,5.132530120481928,1.4463670581026857,0,294,0,Ordered
36,Peter T. King,2019,19,5.157894736842105,1.4245138700910815,0,295,0,Ordered
36,Peter T. King,2020,85,5.588235294117647,1.3389238540091564,0,296,0,Ordered
37,Carolyn McCarty,2010,65,2.5692307692307694,1.3459340479898942,1,297,0,Ordered
37,Carolyn McCarty,2011,34,3.088235294117647,1.5248973548927816,0,298,0,Ordered
37,Carolyn McCarty,2012,106,2.9150943396226414,1.4743387510745412,0,299,0,Ordered
37,Carolyn McCarty,2013,19,3,1.699673171197595,0,300,0,Ordered
37,Carolyn McCarty,2014,99,3.0707070707070705,1.5135613176533127,0,301,0,Ordered
38,Francis Becker Jr.,2010,40,5.325,1.2276201701060805,1,302,0,Ordered
38,Francis Becker Jr.,2011,NA,NA,NA,0,303,0,Ordered
38,Francis Becker Jr.,2012,49,5.061224489795919,1.4202136468577844,0,304,0,Ordered
