variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,param,param_id,candidate_id,year,candidate_ratings,candidate_mean,candidate_sd,first_instance,past_id,rating_type,Candidate,project_id,bonica.rid,ICPSR2,politician_id,state,district,ces_name,type
theta[1],-2.5821309175,-2.58199,0.00890858861834951,0.00907351200000018,-2.5964655,-2.5675875,1.00944531683781,688.392907569605,1788.98057530722,theta,1,1,2010,51096,2.246457648348293,1.364482855103632,1,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[2],-2.4445496175,-2.4448,0.0132843791259089,0.0134842470000001,-2.4659735,-2.4222995,1.0063517438876,992.460907568629,2010.44229100253,theta,2,1,2011,18052,2.4380678041214687,1.4563194784078752,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[3],-2.5602310825,-2.56044,0.00778488470760302,0.00767986800000027,-2.5731305,-2.54722,1.00976594029006,718.060157644898,1797.20818137472,theta,3,1,2012,67058,2.313445077395635,1.4006548222553126,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[4],-2.4076859725,-2.40764,0.0145231122922019,0.014270025,-2.4313245,-2.384098,1.00486696573931,1078.11312623237,2098.20619375077,theta,4,1,2013,14329,2.503873264010046,1.512926689813444,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[5],-2.4571227875,-2.456975,0.00819999578277655,0.00796156200000014,-2.4709605,-2.44366,1.01232103093364,699.546697966099,2174.9582683484,theta,5,1,2014,56586,2.4392605944934456,1.4652749963531586,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[6],-2.5301395125,-2.530085,0.0154985720429718,0.0155450609999995,-2.555132,-2.5042795,1.00455604262294,1140.15680571441,2229.25689234512,theta,6,1,2015,11994,2.3497582124395446,1.4279950539110584,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[7],-2.5165806475,-2.516545,0.00857677955544093,0.00855460200000041,-2.5309905,-2.5024595,1.01041646171783,731.424605502704,1746.65158650268,theta,7,1,2016,56293,2.500879327802804,1.544774593694571,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[8],-2.38060433,-2.380665,0.0138672207148256,0.0137881799999998,-2.403531,-2.3579375,1.00600571021557,1297.56454883263,2363.08914492555,theta,8,1,2017,15698,2.393999235571458,1.4829973214701293,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[9],-2.5207637975,-2.52079,0.00866248985203463,0.00880664399999975,-2.53487,-2.5063485,1.01143745779275,756.667430605423,1949.67118086782,theta,9,1,2018,53726,2.3323530506644574,1.4887417051426728,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
theta[10],-2.498813375,-2.499015,0.0136234346275871,0.0135732029999997,-2.521481,-2.4767,1.00158759515711,1370.3074653667,2160.32403494286,theta,10,1,2019,15957,2.3307012596352426,1.490546155733833,0,0,Ordered,Democratic Party,4566,NA,NA,NA,NA,NA,NA,NA
