Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Rodney Frelinghuysen,U.S. House,CD-11,2010,0.964,0.813,1.112,Republican,New Jersey,11
Rodney Frelinghuysen,U.S. House,CD-11,2012,1.033,0.913,1.157,Republican,New Jersey,11
Rodney Frelinghuysen,U.S. House,CD-11,2014,0.927,0.789,1.065,Republican,New Jersey,11
Rodney Frelinghuysen,U.S. House,CD-11,2016,1.117,0.972,1.267,Republican,New Jersey,11
Jim McDermott,U.S. House,CD-7,2010,-3.489,-3.682,-3.306,Democratic,Washington,7
Jim McDermott,U.S. House,CD-7,2012,-3.392,-3.537,-3.249,Democratic,Washington,7
Jim McDermott,U.S. House,CD-7,2014,-3.244,-3.405,-3.084,Democratic,Washington,7
Jeff Flake,U.S. House,CD-6,2010,1.56,1.423,1.697,Republican,Arizona,6
Jeff Flake,U.S. Senate,Sen-I,2012,1.626,1.577,1.675,Republican,Arizona,100
Morgan Spencer,U.S. House,CD-5,2012,-0.984,-1.3,-0.671,Democratic,Arizona,5
Matt Salmon,U.S. House,CD-5,2012,1.529,1.375,1.68,Republican,Arizona,5
Matt Salmon,U.S. House,CD-5,2014,1.652,1.516,1.794,Republican,Arizona,5
Jessica Ehrlich,U.S. House,CD-13,2012,-1.488,-1.68,-1.296,Democratic,Florida,13
C.W. Bill Young,U.S. House,CD-10,2010,1.124,0.98,1.265,Republican,Florida,10
C.W. Bill Young,U.S. House,CD-13,2012,1.129,1.007,1.254,Republican,Florida,13
James R. Langevin,U.S. House,CD-2,2010,-2.182,-2.374,-2.002,Democratic,Rhode Island,2
James R. Langevin,U.S. House,CD-2,2012,-2.054,-2.199,-1.909,Democratic,Rhode Island,2
James R. Langevin,U.S. House,CD-2,2014,-1.971,-2.127,-1.819,Democratic,Rhode Island,2
James R. Langevin,U.S. House,CD-2,2016,-1.912,-2.069,-1.753,Democratic,Rhode Island,2
James R. Langevin,U.S. House,CD-2,2018,-1.965,-2.131,-1.791,Democratic,Rhode Island,2
James R. Langevin,U.S. House,CD-2,2020,-1.979,-2.145,-1.813,Democratic,Rhode Island,2
