chamber_before_election,chamber_after_election,Party,Candidate,Year,Ideology,Nominate_D1_before,Nominate_D2_before,NP_D1_before,NP_D2_before,Nominate_D1_after,Nominate_D2_after,NP_D1_after,NP_D2_after
House,House,Republican,Rodney Frelinghuysen,2010,0.964,0.292,-0.262,0.246,0.1,0.292,-0.262,0.264,0.193
House,House,Republican,Rodney Frelinghuysen,2012,1.033,0.292,-0.262,0.258,0.073,0.292,-0.262,0.246,0.1
House,House,Republican,Rodney Frelinghuysen,2014,0.927,0.292,-0.262,0.266,0.412,0.292,-0.262,0.258,0.073
House,House,Republican,Rodney Frelinghuysen,2016,1.117,0.292,-0.262,0.34,0.01,0.292,-0.262,0.266,0.412
NA,House,Republican,Rodney Frelinghuysen,2018,1.11,NA,NA,NA,NA,0.292,-0.262,0.34,0.01
House,House,Democratic,Jim McDermott,2010,-3.489,-0.666,-0.197,-0.626,-0.147,-0.666,-0.197,-0.608,-0.42
House,House,Democratic,Jim McDermott,2012,-3.392,-0.666,-0.197,-0.655,-0.066,-0.666,-0.197,-0.626,-0.147
House,House,Democratic,Jim McDermott,2014,-3.244,-0.666,-0.197,-0.492,-0.559,-0.666,-0.197,-0.655,-0.066
NA,House,Democratic,Jim McDermott,2016,-3.002,NA,NA,NA,NA,-0.666,-0.197,-0.492,-0.559
House,House,Republican,Jeff Flake,2010,1.56,0.855,-0.518,0.913,-0.408,0.855,-0.518,0.964,-0.265
Senate,House,Republican,Jeff Flake,2012,1.626,0.855,-0.518,0.476,-0.731,0.855,-0.518,0.913,-0.408
Senate,Senate,Republican,Jeff Flake,2014,1.127,0.855,-0.518,0.686,-0.728,0.855,-0.518,0.476,-0.731
Senate,Senate,Republican,Jeff Flake,2016,0.604,0.855,-0.518,0.853,-0.522,0.855,-0.518,0.686,-0.728
NA,Senate,Republican,Jeff Flake,2018,0.386,NA,NA,NA,NA,0.855,-0.518,0.853,-0.522
House,House,Republican,Matt Salmon,2014,1.652,0.673,-0.272,0.637,-0.32,0.673,-0.272,0.71,-0.389
NA,House,Republican,Matt Salmon,2016,1.701,NA,NA,NA,NA,0.673,-0.272,0.637,-0.32
House,House,Republican,C.W. Bill Young,2010,1.124,0.325,-0.112,0.318,-0.157,0.325,-0.112,0.267,0.202
House,House,Republican,C.W. Bill Young,2012,1.129,0.325,-0.112,0.351,0.114,0.325,-0.112,0.318,-0.157
House,House,Democratic,James R. Langevin,2010,-2.182,-0.375,0.114,-0.385,0.061,-0.375,0.114,-0.374,0.163
House,House,Democratic,James R. Langevin,2012,-2.054,-0.375,0.114,-0.39,0.084,-0.375,0.114,-0.385,0.061
House,House,Democratic,James R. Langevin,2014,-1.971,-0.375,0.114,-0.373,0.102,-0.375,0.114,-0.39,0.084
House,House,Democratic,James R. Langevin,2016,-1.912,-0.375,0.114,-0.411,0.17,-0.375,0.114,-0.373,0.102
House,House,Democratic,James R. Langevin,2018,-1.965,-0.375,0.114,-0.292,0.018,-0.375,0.114,-0.411,0.17
House,House,Democratic,James R. Langevin,2020,-1.979,-0.375,0.114,-0.353,0.23,-0.375,0.114,-0.292,0.018
NA,House,Democratic,James R. Langevin,2022,-1.951,NA,NA,NA,NA,-0.375,0.114,-0.353,0.23
NA,House,Democratic,Eleanor Holmes Norton,2010,-2.78,NA,NA,NA,NA,-0.491,-0.114,-0.503,0.2
House,House,Democratic,Eleanor Holmes Norton,2020,-2.613,-0.491,-0.114,-0.411,-0.874,-0.491,-0.114,-0.301,0.113
House,House,Democratic,Eleanor Holmes Norton,2022,-2.656,-0.491,-0.114,-0.434,-0.257,-0.491,-0.114,-0.411,-0.874
House,House,Democratic,Eleanor Holmes Norton,2024,-2.748,-0.491,-0.114,-0.599,-0.565,-0.491,-0.114,-0.434,-0.257
House,House,Democratic,Jackie Speier,2010,-2.419,-0.381,-0.41,-0.341,-0.42,-0.381,-0.41,-0.413,-0.851
House,House,Democratic,Jackie Speier,2012,-2.483,-0.381,-0.41,-0.42,-0.445,-0.381,-0.41,-0.341,-0.42
House,House,Democratic,Jackie Speier,2014,-2.502,-0.381,-0.41,-0.405,-0.311,-0.381,-0.41,-0.42,-0.445
House,House,Democratic,Jackie Speier,2016,-2.303,-0.381,-0.41,-0.358,-0.539,-0.381,-0.41,-0.405,-0.311
House,House,Democratic,Jackie Speier,2018,-2.293,-0.381,-0.41,-0.316,-0.227,-0.381,-0.41,-0.358,-0.539
House,House,Democratic,Jackie Speier,2020,-2.393,-0.381,-0.41,-0.389,-0.11,-0.381,-0.41,-0.316,-0.227
NA,House,Democratic,Jackie Speier,2022,-2.374,NA,NA,NA,NA,-0.381,-0.41,-0.389,-0.11
House,House,Democratic,Nancy Pelosi,2010,-3.068,-0.489,-0.179,-0.439,-0.05,-0.489,-0.179,-0.562,0.099
House,House,Democratic,Nancy Pelosi,2012,-3.003,-0.489,-0.179,-0.453,-0.08,-0.489,-0.179,-0.439,-0.05
House,House,Democratic,Nancy Pelosi,2014,-2.822,-0.489,-0.179,-0.499,-0.001,-0.489,-0.179,-0.453,-0.08
House,House,Democratic,Nancy Pelosi,2016,-2.607,-0.489,-0.179,-0.438,-0.197,-0.489,-0.179,-0.499,-0.001
House,House,Democratic,Nancy Pelosi,2018,-2.432,-0.489,-0.179,-0.399,0.23,-0.489,-0.179,-0.438,-0.197
House,House,Democratic,Nancy Pelosi,2020,-2.327,-0.489,-0.179,-0.413,0.253,-0.489,-0.179,-0.399,0.23
House,House,Democratic,Nancy Pelosi,2022,-2.424,-0.489,-0.179,-0.552,0.236,-0.489,-0.179,-0.413,0.253
House,House,Democratic,Nancy Pelosi,2024,-2.439,-0.489,-0.179,-0.423,-0.002,-0.489,-0.179,-0.552,0.236
House,House,Republican,John Sullivan,2010,1.616,0.513,0.173,0.471,0.125,0.513,0.173,0.516,0.129
NA,House,Republican,John Sullivan,2012,1.508,NA,NA,NA,NA,0.513,0.173,0.471,0.125
House,House,Republican,Jim Bridenstine,2014,2.208,0.689,-0.157,0.651,-0.126,0.689,-0.157,0.746,-0.171
House,House,Republican,Jim Bridenstine,2016,2.32,0.689,-0.157,0.623,-0.253,0.689,-0.157,0.651,-0.126
House,House,Republican,Lamar Smith,2010,1.692,0.425,0.061,0.396,0.462,0.425,0.061,0.339,0.479
House,House,Republican,Lamar Smith,2012,1.537,0.425,0.061,0.502,0.307,0.425,0.061,0.396,0.462
House,House,Republican,Lamar Smith,2014,1.41,0.425,0.061,0.57,0.244,0.425,0.061,0.502,0.307
