Candidate,year,Ideology,Lower,Upper
Democratic Party,2010,-2.582,-2.596,-2.568
Democratic Party,2011,-2.445,-2.466,-2.422
Democratic Party,2012,-2.56,-2.573,-2.547
Democratic Party,2013,-2.408,-2.431,-2.384
Democratic Party,2014,-2.457,-2.471,-2.444
Democratic Party,2015,-2.53,-2.555,-2.504
Democratic Party,2016,-2.517,-2.531,-2.502
Democratic Party,2017,-2.381,-2.404,-2.358
Democratic Party,2018,-2.521,-2.535,-2.506
Democratic Party,2019,-2.499,-2.521,-2.477
Democratic Party,2020,-2.466,-2.481,-2.452
Democratic Party,2021,-2.425,-2.444,-2.406
Democratic Party,2022,-2.485,-2.499,-2.471
Democratic Party,2023,-2.53,-2.551,-2.509
Democratic Party,2024,-2.485,-2.499,-2.47
Republican Party,2010,1.381,1.369,1.393
Republican Party,2011,1.62,1.6,1.639
Republican Party,2012,1.647,1.635,1.658
Republican Party,2013,1.706,1.684,1.728
Republican Party,2014,1.449,1.437,1.461
Republican Party,2015,1.555,1.531,1.578
Republican Party,2016,1.615,1.602,1.628
Republican Party,2017,1.738,1.715,1.759
Republican Party,2018,1.94,1.927,1.954
Republican Party,2019,1.862,1.84,1.883
Republican Party,2020,2.121,2.107,2.135
Republican Party,2021,1.979,1.96,1.998
Republican Party,2022,2.164,2.15,2.179
Republican Party,2023,2.011,1.991,2.032
Republican Party,2024,2.136,2.122,2.15
Rodney Frelinghuysen,2010,0.964,0.813,1.112
Rodney Frelinghuysen,2011,1.014,0.865,1.165
Rodney Frelinghuysen,2012,1.033,0.913,1.157
Rodney Frelinghuysen,2013,0.92,0.745,1.079
Rodney Frelinghuysen,2014,0.927,0.789,1.065
Rodney Frelinghuysen,2015,1.024,0.841,1.214
Rodney Frelinghuysen,2016,1.117,0.972,1.267
Rodney Frelinghuysen,2017,1.123,0.953,1.296
Rodney Frelinghuysen,2018,1.11,0.947,1.279
Jim McDermott,2010,-3.489,-3.682,-3.306
Jim McDermott,2011,-3.402,-3.58,-3.221
