bonica.rid,ICPSR2,politician_id,Unique_Project_ID,state,district,ces_name,type,year
cand144565,H8AL03062,10347,1,alabama,3,Adia Winfrey,Rep,2020
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2006
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2007
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2008
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2009
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2010
cand870,20302,14807,2,alabama,7,Artur Davis,Rep,2012
,,,3,alabama,6,Avery Vise,Rep,2014
,,15742,4,alabama,4,Barbara Bobo,Rep,2006
cand141519,22140,10346,5,alabama,2,Barry Moore,Rep,2020
cand141519,22140,10346,5,alabama,2,Barry Moore,Rep,2021
cand141519,22140,10346,5,alabama,2,Barry Moore,Rep,2022
cand141519,22140,10346,5,alabama,2,Barry Moore,Rep,2023
cand141519,22140,10346,5,alabama,2,Barry Moore,Rep,2024
cand1426,29700,78,6,alabama,0,Bob Riley,Gov,2006
cand1426,29700,78,6,alabama,0,"Robert Renfroe ""Bob"" Riley",Gov,2009
cand1426,29700,78,6,alabama,0,Bob Riley,Gov,2010
cand1028,20900,8375,7,alabama,2,Bobby Bright,Rep,2008
cand1028,20900,8375,7,alabama,2,Bobby Bright,Rep,2009
cand1028,20900,8375,7,alabama,2,"Bobby Bright, Sr.",Rep,2010
cand1028,20900,8375,7,alabama,2,"Bobby Bright, Sr.",Rep,2012
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2014
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2015
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2016
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2017
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2018
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2019
cand160406,21376,3142,8,alabama,1,Bradley Byrne,Rep,2020
cand1190,29100,13203,9,alabama,5,Robert E. (Bud) Cramer,Rep,2006
cand1190,29100,13203,9,alabama,5,Bud Cramer,Rep,2007
cand1190,29100,13203,9,alabama,5,Robert E. (Bud) Cramer,Rep,2008
cand160409,H4AL01156,3930,10,alabama,1,Burton LeFLore,Rep,2014
cand45701,H4AL02063,15311,11,alabama,2,"Charles ""Chuck"" Dean James",Rep,2006
cand40134,H2AL05094,5558,12,alabama,5,Charlie Holley,Rep,2012
cand40124,H2AL04055,5552,13,alabama,4,Daniel Boman,Rep,2012
cand140511,H8AL06099,8712,14,alabama,6,Danner Kline,Rep,2018
cand130247,H6AL06127,16113,15,alabama,6,David J. Putman,Rep,2016
cand34877,H0AL07177,5554,16,alabama,7,Don Chamberlain,Rep,2010
cand34877,H0AL07177,5554,16,alabama,7,Don Chamberlain,Rep,2012
cand103327,41705,8316,17,alabama,0,Doug Jones,Sen,2018
cand103327,41705,8316,17,alabama,0,Doug Jones,Sen,2019
cand103327,41705,8316,17,alabama,0,Doug Jones,Sen,2020
cand143037,H4AL02071,3942,18,alabama,2,Erick Wright,Rep,2014
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2014
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2015
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2016
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2017
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2018
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2019
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2020
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2021
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2022
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2023
cand143041,21500,3935,19,alabama,6,Gary Palmer,Rep,2024
cand1073,20946,3019,20,pennsylvania,5,Glenn W. Thompson,Rep,2008
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2009
cand1073,20946,3019,20,pennsylvania,5,"Glenn Thompson, Jr.",Rep,2010
cand1073,20946,3019,20,pennsylvania,5,"Glenn ""G.T."" Thompson",Rep,2011
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2012
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2013
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2014
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2015
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2016
cand1073,20946,3019,20,pennsylvania,5,Glenn Thompson,Rep,2017
cand1073,20946,3019,20,pennsylvania,15,"Glenn William Thompson, Jr.",Rep,2018
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2019
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2020
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2021
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2022
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2023
cand1073,20946,3019,20,pennsylvania,15,Glenn Thompson,Rep,2024
cand49187,H6AL03140,15741,21,alabama,3,Greg A. Pierce,Rep,2006
cand149415,H0AL01097,10343,22,alabama,1,James Averhart,Rep,2020
cand157202,AL12997467,9970,23,alabama,2,Jay Love,Rep,2008
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2006
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2007
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2008
cand1632,49700,1536,25,alabama,0,"Jefferson Beauregard ""Jeff"" Sessions III",Sen,2009
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2010
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2011
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2012
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2013
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2014
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2015
cand1632,49700,1536,25,alabama,0,Jeff Sessions,Sen,2016
cand156940,22108,10344,26,alabama,1,Jerry Carl,Rep,2020
cand156940,22108,10344,26,alabama,1,Jerry Carl,Rep,2021
cand156940,22108,10344,26,alabama,1,Jerry Carl,Rep,2022
cand156940,22108,10344,26,alabama,1,Jerry Carl,Rep,2023
cand156940,22108,10344,26,alabama,1,Jerry Carl,Rep,2024
cand186430,H4AL03061,3938,27,alabama,3,Jesse Smith,Rep,2014
cand186430,H4AL03061,3938,27,alabama,3,Jesse Smith,Rep,2016
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2006
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2007
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2008
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2009
cand868,20300,5553,28,alabama,1,Josiah 'Jo' Bonner,Rep,2010
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2011
cand868,20300,5553,28,alabama,1,Jo Bonner,Rep,2012
,,5557,29,alabama,3,John Andrew Harris,Rep,2012
cand53289,H8AL03047,16109,30,alabama,3,Joshua  Segall,Rep,2008
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2017
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2018
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2019
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2020
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2021
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2022
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2023
cand158473,AL6583997,8621,31,alabama,0,Kay Ivey,Gov,2024
,,,32,alabama,6,Kaynen Pellegrino,Rep,2020
cand143954,H8AL04094,8710,33,alabama,4,Lee Auman,Rep,2018
cand4191,AL10193,9254,34,alabama,0,Lucy Baxley,Gov,2006
,41704,,35,alabama,0,"Luther J. Strange, III",Sen,2017
cand143953,H8AL03054,8709,36,alabama,3,Mallory Hagan,Rep,2018
cand186432,H4AL05082,3919,37,alabama,5,Mark Bray,Rep,2014
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2010
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2011
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2012
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2013
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2014
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2015
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2016
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2017
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2018
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2019
cand1180,21192,2968,38,alabama,2,Martha Roby,Rep,2020
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2006
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2007
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2008
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2009
cand869,20301,2972,40,alabama,3,Michael Rogers,Rep,2010
cand869,20301,2972,40,alabama,3,Mike D. Rogers,Rep,2011
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2012
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2013
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2014
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2015
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2016
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2017
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2018
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2019
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2020
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2021
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2022
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2023
cand869,20301,2972,40,alabama,3,Mike Rogers,Rep,2024
cand1181,21193,2737,41,alabama,5,Morris Brooks,Rep,2010
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2011
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2012
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2013
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2014
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2015
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2016
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2017
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2018
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2019
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2020
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2021
cand1181,21193,2737,41,alabama,5,Mo Brooks,Rep,2022
,,16108,42,alabama,2,Nathan Mathis,Rep,2016
cand53293,H8AL04052,16111,43,alabama,4,Nicholas B. Sparks,Rep,2008
cand193069,20901,3925,44,alabama,5,Parker Griffith,Rep,2008
cand193069,20901,3925,44,alabama,5,Parker Griffith,Rep,2009
cand193069,20901,3925,44,alabama,5,R. Parker Griffith,Rep,2010
cand193069,20901,3925,44,alabama,5,R. Parker Griffith,Rep,2012
cand40145,H2AL06142,5550,45,alabama,6,Penny Bailey,Rep,2012
cand141046,H8AL05190,8711,46,alabama,5,Peter Joffrion,Rep,2018
cand152593,H0AL02202,10345,47,alabama,2,Phyllis Harvey-Hall,Rep,2020
cand152593,H0AL02202,10345,47,alabama,2,Phyllis Harvey-Hall,Rep,2022
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2006
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2007
cand6223,20508,2889,48,illinois,3,Daniel William Lipinski,Rep,2008
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2009
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2010
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2011
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2012
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2013
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2014
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2015
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2016
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2017
cand6223,20508,2889,48,illinois,3,Daniel Lipinski,Rep,2018
cand6223,20508,2889,48,illinois,3,Dan Lipinski,Rep,2019
