candidate_name,politician_id,state,cycle
Ron D. Tupa,23061,colorado,2024
Sergei Matveyuk,22631,colorado,2024
Brittany Pettersen,17919,colorado,2024
Patrick Bohan,23060,colorado,2024
Patrick Flaherty,23161,colorado,2024
Lauren Boebert,10394,colorado,2024
Trisha Calvarese,19460,colorado,2024
Frank Atwood,3849,colorado,2024
Hannah Goodman,23056,colorado,2024
Paul Fiorino,6614,colorado,2024
Adam Frisch,18420,colorado,2024
Jeff Hurd,19400,colorado,2024
James Wiley,23054,colorado,2024
Adam Withrow,23055,colorado,2024
Diana DeGette,2782,colorado,2024
Daniel Lutz,23052,colorado,2024
Critter Milton,10334,colorado,2024
John R. Johnson,23158,colorado,2024
Valdamar Archuleta,22627,colorado,2024
Charles H. Norris,23157,colorado,2024
Josh Harder,8677,california,2024
Kevin Lincoln,19445,california,2024
Tom Silva,22554,california,2024
Jim Atkinson,22541,pennsylvania,2024
Doris Matsui,2904,california,2024
Ami Bera,3070,california,2024
Christine Bish,10388,california,2024
Robert Garcia,17901,california,2024
John Briscoe,8759,california,2024
Linda T. Sánchez,3015,california,2024
Eric J. Ching,17897,california,2024
Juan Rey,23010,california,2024
Sydney Kamlager-Dove,18612,california,2024
Ted W. Lieu,3781,california,2024
Melissa Toomim,22568,california,2024
Norma J. Torres,3835,california,2024
Mike Cargile,10375,california,2024
Brad Sherman,3002,california,2024
Larry Thompson,22566,california,2024
Alex Balekian,22565,california,2024
Laura Friedman,19236,california,2024
Raul Ruiz,3077,california,2024
Ian M. Weeks,22562,california,2024
Jared Huffman,3069,california,2024
Chris Coulombe,22552,california,2024
Jimmy Panetta,8735,california,2024
Jason Michael Anderson,5022,california,2024
Ro Khanna,3768,california,2024
Anita Chen,22559,california,2024
Sam Liccardo,19088,california,2024
Evan Low,19090,california,2024
Katherine Piccinini,22555,california,2024
Mark DeSaulnier,3727,california,2024
Doug LaMalfa,3068,california,2024
Rose Penelope Yee,22493,california,2024
John W. Mannion,21320,new york,2024
,,new york,2024
Brandon M. Williams,18563,new york,2024
Virginia Foxx,2811,north carolina,2024
Chuck Hubbard,22525,north carolina,2024
Greg Murphy,9723,north carolina,2024
Gheorghe Lucian Cormos,22882,north carolina,2024
Ronald C. Russell,22634,maine,2024
,,maine,2024
Ethan Weld Alcorn,22839,maine,2024
Chellie Pingree,600,maine,2024
Javi Tachiquin,22822,nevada,2024
Lynn Chapman,22821,nevada,2024
Mark E. Amodei,3052,nevada,2024
Robert Gregory Kidd,22823,nevada,2024
Susie Lee,8929,nevada,2024
Drew Johnson,22645,nevada,2024
Jordan Rowden,22843,missouri,2024
Bethany E. Mann,18812,missouri,2024
William M. Hastings,15934,missouri,2024
Bob Onder,22721,missouri,2024
Thomas Holbrook,4932,missouri,2024
Mark Alford,18106,missouri,2024
David A. Haave,18975,missouri,2024
Jeanette Cass,22803,missouri,2024
Michael Day,23014,missouri,2024
Emanuel Cleaver II,2762,missouri,2024
William Truman Wayne,22844,missouri,2024
Sean E. Smith,22723,missouri,2024
Jason Smith,3139,missouri,2024
Jake Dawson,22845,missouri,2024
Randi McCallian,18112,missouri,2024
Aaron Bashir,18243,pennsylvania,2024
Brendan F. Boyle,3590,pennsylvania,2024
Susan Wild,8591,pennsylvania,2024
Ryan E. Mackenzie,19354,pennsylvania,2024
Lloyd K. Smucker,8238,pennsylvania,2024
Ryan Melton,18039,iowa,2024
Randy Feenstra,10427,iowa,2024
,,iowa,2024
Jim Himes,2848,connecticut,2024
Michael Goldstein,17935,connecticut,2024
Benjamin L. Wesley,23049,connecticut,2024
"Abraham ""Abe"" Hamadeh",19203,arizona,2024
Gregory Whitten,22690,arizona,2024
Jeff Zink,17848,arizona,2024
Yassamin Ansari,19296,arizona,2024
Alan Aversa,22960,arizona,2024
Candace Cunningham,23139,arizona,2024
Charles Everette Holt,23138,arizona,2024
Eli Crane,18808,arizona,2024
Jonathan Nez,22687,arizona,2024
David Alexander,23136,arizona,2024
Richard William Ester,23137,arizona,2024
,,wisconsin,2024
Kristin Lyerly,22787,wisconsin,2024
Tony Wied,22786,wisconsin,2024
Tom Tiffany,10791,wisconsin,2024
Kyle Kilbourn,22785,wisconsin,2024
Peter Barca,6779,wisconsin,2024
Chester Todd,23047,wisconsin,2024
Bryan Steil,9132,wisconsin,2024
Marilyn Strickland,10889,washington,2024
Don Hewett,18339,washington,2024
,,washington,2024
Adam Smith,3008,washington,2024
Melissa Chaudhry,22820,washington,2024
"Gerald E. ""Gerry"" Connolly",2769,virginia,2024
Mike L. Van Meter,22679,virginia,2024
,,virginia,2024
Mike W. Clancy,22678,virginia,2024
Suhas Subramanyam,19485,virginia,2024
Glenn J. Wright,18312,utah,2024
Mike Kennedy,19229,utah,2024
Bill Campbell,22669,utah,2024
Daniel Rhead Cottam,10870,utah,2024
Blake D. Moore,10761,utah,2024
Megan Barry,22732,tennessee,2024
Shaun Greene,22986,tennessee,2024
Mark E. Green,10694,tennessee,2024
Andy Ogles,18819,tennessee,2024
Yomi Faparusi,4084,tennessee,2024
Bob Titley,22985,tennessee,2024
Maryam Abolfazli,22730,tennessee,2024
Jim Larkin,22984,tennessee,2024
"Glenn ""G.T."" Thompson",3019,pennsylvania,2024
Zach Womer,22544,pennsylvania,2024
Tom Cole,2767,oklahoma,2024
Mary Brannon,8967,oklahoma,2024
James Stacy,23008,oklahoma,2024
Dan Bahlen,22970,oregon,2024
,,oregon,2024
Justin Filip,22971,oregon,2024
Val Hoyle,18232,oregon,2024
Monique DeSpain,22603,oregon,2024
Alison Esposito,19062,new york,2024
Pat Ryan,9093,new york,2024
Andrea Morse,22653,new york,2024
Nicole Malliotakis,10570,new york,2024
John P. Avlon,22647,new york,2024
Nicholas J. LaLota,18388,new york,2024
April McClain Delaney,19263,maryland,2024
Neil C. Parrott,10495,maryland,2024
,,maryland,2024
Steny Hoyer,2852,maryland,2024
Michelle Talkington,22591,maryland,2024
Miguel Barajas,22879,maryland,2024
Sarah Elfreth,19260,maryland,2024
Robert J. Steinberger,22590,maryland,2024
Joshua W. O'Brien,22878,maryland,2024
Blane H. Miller III,22537,maryland,2024
Andy Harris,2840,maryland,2024
Marlin A. Stutzman,550,indiana,2024
Kiley M. Adolph,22499,indiana,2024
Jarrad Lancaster,22945,indiana,2024
Lori A. Camp,22498,indiana,2024
William E. Henry,18719,indiana,2024
Michael John Hubbard,23190,indiana,2024
Rudy Yakym,18849,indiana,2024
Hal Rogers,2970,kentucky,2024
James R. Comer,8846,kentucky,2024
Erin Marshall,22536,kentucky,2024
Seth Alan Cohen,23036,illinois,2024
Janice D. Schakowsky,2989,illinois,2024
Niki Conforti,22580,illinois,2024
Sean Casten,8562,illinois,2024
Peter J. Meyer,23179,illinois,2024
John Booras,22579,illinois,2024
Delia Ramirez,18010,illinois,2024
Angel Oakley,23178,illinois,2024
Ashley Ramos,22578,illinois,2024
Hilary Myrick-Winston,23176,illinois,2024
Robin Kelly,3138,illinois,2024
Mike Vick,23177,illinois,2024
Darin LaHood,8826,illinois,2024
Scott K. Summers,6566,illinois,2024
Nikki Budzinski,18021,illinois,2024
Joshua Loyd,18946,illinois,2024
Chibuihe Asonye,23174,illinois,2024
Gay Valimont,22692,florida,2024
Matt Gaetz,8779,florida,2024
Tom Wells,8794,florida,2024
Kat Cammack,11042,florida,2024
Darren Soto,8800,florida,2024
Gregory Marcus Carter,22964,florida,2024
Thomas Chalifoux,22697,florida,2024
Rock Aboujaoude Jr.,22699,florida,2024
Gus Michael Bilirakis,2724,florida,2024
Jan Schneider,11404,florida,2024
Vern Buchanan,2740,florida,2024
Lois Frankel,3086,florida,2024
Dan Franzese,18854,florida,2024
Lily Tang Williams,8146,new hampshire,2024
Maggie Goodlander,22683,new hampshire,2024
,,new hampshire,2024
Michael Simpson,22954,south carolina,2024
Joseph Oddo,11468,south carolina,2024
Gregg Marcel Dixon,22952,south carolina,2024
,,south carolina,2024
"James E. ""Jim"" Clyburn",2763,south carolina,2024
Duke Buckner,18271,south carolina,2024
Russell Fry,18623,south carolina,2024
Mal Hyman,17116,south carolina,2024
Sanford Bishop,2726,georgia,2024
A. Wayne Johnson,10210,georgia,2024
"Henry ""Hank"" Johnson Jr.",2864,georgia,2024
Eugene Yu,3339,georgia,2024
Lucy McBath,8811,georgia,2024
Jeff Criswell,22577,georgia,2024
,,georgia,2024
David Scott,2996,georgia,2024
Jonathan Chavez,17981,georgia,2024
Joshua Morott,23002,louisiana,2024
Mike Johnson,10476,louisiana,2024
Mark Sanders,23006,oklahoma,2024
Dennis Baker,22663,oklahoma,2024
Kevin Hern,9592,oklahoma,2024
Rick Crawford,2773,arkansas,2024
Steven Gene Parsons,22833,arkansas,2024
Rodney Govens,22489,arkansas,2024
Caitlin Draper,22491,arkansas,2024
Steve Womack,3045,arkansas,2024
Bobby Wilson,22834,arkansas,2024
Louis Palus,18843,michigan,2024
Paul Hudson,22713,michigan,2024
Alex Avery,22919,michigan,2024
Hillary Scholten,10273,michigan,2024
Clyde K. Shabazz,10972,michigan,2024
Bill Krebaum,22921,michigan,2024
Heather Smiley,22716,michigan,2024
Debbie Dingell,3219,michigan,2024
Douglas Campbell,9295,michigan,2024
Nick Somberg,22718,michigan,2024
Haley Stevens,8876,michigan,2024
Nathaniel Moran,17767,texas,2024
Dan Crenshaw,9026,texas,2024
Peter Filler,22505,texas,2024
John Love III,19223,texas,2024
Jake Ellzey,13256,texas,2024
Laura Jones,17772,texas,2024
Morgan Luttrell,17787,texas,2024
Al Green,2829,texas,2024
August Pfluger,10697,texas,2024
Ronny Jackson,10702,texas,2024
Rhonda Hart,22508,texas,2024
Randy Weber,3127,texas,2024
Marquette Greene-Scott,22511,texas,2024
Troy E. Nehls,10325,texas,2024
S. Limon,22512,texas,2024
Tony Gonzales,10267,texas,2024
Jay Furman,22614,texas,2024
Henry Cuellar,2776,texas,2024
Stuart Whitlow,22516,texas,2024
John Carter,2752,texas,2024
Vicente Gonzalez,9017,texas,2024
Mayra Flores,17784,texas,2024
Girish Altekar,22851,texas,2024
Lloyd Doggett,2790,texas,2024
Jennifer Garcia Sharon,10745,texas,2024
,,alabama,2024
Robert B. Aderholt,2715,alabama,2024
John Wayne Howe,11093,alaska,2024
Mary S. Peltola,18432,alaska,2024
Nick Begich,17843,alaska,2024
Eric Hafner,22991,alaska,2024
Matt Loesby,22888,idaho,2024
Russ Fulcher,6518,idaho,2024
Margot Dupre,23109,idaho,2024
David Bot,23108,idaho,2024
Brendan J. Gomez,22887,idaho,2024
Kaylee Peterson,18003,idaho,2024
Mike Simpson,3005,idaho,2024
Idaho Sierra Law,10430,idaho,2024
Todd Corsetti,22889,idaho,2024
David Roth,17997,idaho,2024
Michael A. Rulli,22598,ohio,2024
Michael L. Kripchak,22521,ohio,2024
Vanessa Enoch,8962,ohio,2024
Warren Davidson,8963,ohio,2024
Shontel Brown,17732,ohio,2024
Christopher Zelonish,23115,ohio,2024
Tracy Deforde,23114,ohio,2024
Alan Rapoport,22600,ohio,2024
Sean Freeman,23046,ohio,2024
Jerrad Christian,22523,ohio,2024
Troy Balderson,8575,ohio,2024
David P. Joyce,3120,ohio,2024
Brian Bob Kenderes,18970,ohio,2024
Melanie Ann Stansbury,14266,new mexico,2024
Steve Jones,10539,new mexico,2024
,,massachusetts,2024
Dan Sullivan,4545,massachusetts,2024
Bill Keating,2869,massachusetts,2024
Joe Teirab,22753,minnesota,2024
Thomas William Bowman,22943,minnesota,2024
,,minnesota,2024
