bonica.rid,year,candidate,state
cand10,2004,robert j dole,kansas
cand49,2010,frank annunzio,illinois
cand53,2004,john conyers jr,michigan
cand53,2006,john conyers jr,michigan
cand53,2008,john conyers jr,michigan
cand53,2010,john conyers jr,michigan
cand53,2012,john conyers jr,michigan
cand53,2014,john conyers jr,michigan
cand53,2016,john conyers jr,michigan
cand60,2014,thomas s foley,washington
cand80,2004,edward moore kennedy,massachusetts
cand80,2006,edward moore kennedy,massachusetts
cand80,2008,edward moore kennedy,massachusetts
cand80,2010,edward moore kennedy,massachusetts
cand107,2004,ernest f hollings,south carolina
cand867,2004,william lacy clay jr,missouri
cand867,2006,william lacy clay jr,missouri
cand867,2008,william lacy clay jr,missouri
cand867,2010,william lacy clay jr,missouri
cand867,2012,william lacy clay jr,missouri
cand867,2014,william lacy clay jr,missouri
cand867,2016,william lacy clay jr,missouri
cand127,2004,david r obey,wisconsin
cand127,2006,david r obey,wisconsin
cand127,2008,david r obey,wisconsin
cand127,2010,david r obey,wisconsin
cand127,2014,david r obey,wisconsin
cand131,2004,philip m crane,illinois
cand138,2004,ted stevens,alaska
cand138,2006,ted stevens,alaska
cand138,2008,ted stevens,alaska
cand138,2010,ted stevens,alaska
cand157,2004,charles b rangel,new york
cand157,2006,charles b rangel,new york
cand157,2008,charles b rangel,new york
cand157,2010,charles b rangel,new york
cand157,2012,charles b rangel,new york
cand157,2014,charles b rangel,new york
cand157,2016,charles b rangel,new york
cand160,2004,paul s sarbanes,maryland
cand160,2006,paul s sarbanes,maryland
cand163,2004,c w young,florida
cand163,2006,c w young,florida
cand163,2008,c w young,florida
cand163,2010,c w young,florida
cand163,2012,c w young,florida
cand163,2014,c w young,florida
cand167,2004,john b breaux,louisiana
cand31673,2004,robert c byrd,west virginia
cand31673,2006,robert c byrd,west virginia
cand31673,2008,robert c byrd,west virginia
cand31673,2010,robert c byrd,west virginia
cand177,2004,william thad cochran,mississippi
cand177,2006,william thad cochran,mississippi
cand177,2008,william thad cochran,mississippi
cand177,2010,william thad cochran,mississippi
cand177,2012,william thad cochran,mississippi
cand177,2014,william thad cochran,mississippi
cand177,2016,william thad cochran,mississippi
cand180,2004,benjamin a gilman,new york
cand188,2004,trent lott,mississippi
cand188,2006,trent lott,mississippi
cand188,2008,trent lott,mississippi
cand188,2010,trent lott,mississippi
cand188,2012,trent lott,mississippi
cand198,2004,ralph s regula,ohio
cand198,2006,ralph s regula,ohio
cand198,2008,ralph regula,ohio
cand201,2004,patricia schroeder,colorado
cand203,2004,fortney h stark,california
cand203,2006,fortney h stark,california
cand203,2008,fortney h stark,california
cand203,2010,fortney h stark,california
cand203,2012,fortney h stark,california
cand203,2014,fortney h stark,california
cand210,2004,donald e young,alaska
cand210,2006,donald e young,alaska
cand210,2008,donald e young,alaska
cand210,2010,donald e young,alaska
cand210,2012,donald e young,alaska
cand210,2014,donald e young,alaska
cand210,2016,donald e young,alaska
cand216,2004,john p murtha,pennsylvania
cand216,2006,john p murtha,pennsylvania
cand216,2008,john p murtha,pennsylvania
cand216,2010,john p murtha,pennsylvania
cand216,2012,john p murtha,pennsylvania
cand221,2004,joseph r biden jr,delaware
cand221,2006,joseph r biden jr,delaware
cand221,2008,joseph r biden jr,delaware
cand221,2010,joseph r biden jr,delaware
cand191768,2004,pete v domenici,new mexico
cand191768,2006,pete v domenici,new mexico
cand191768,2008,pete v domenici,new mexico
cand223,2004,jesse helms,north carolina
cand226,2014,samuel augustus nunn,georgia
cand230,2004,max s baucus,montana
cand230,2006,max s baucus,montana
cand230,2008,max s baucus,montana
cand230,2010,max s baucus,montana
cand230,2012,max s baucus,montana
cand230,2014,max s baucus,montana
cand238,2004,christopher j dodd,connecticut
cand238,2006,christopher j dodd,connecticut
cand238,2010,christopher j dodd,connecticut
cand238,2012,christopher j dodd,connecticut
cand238,2014,christopher j dodd,connecticut
cand251,2004,charles e grassley,iowa
cand251,2006,charles e grassley,iowa
cand251,2008,charles e grassley,iowa
cand251,2010,charles e grassley,iowa
cand251,2012,charles e grassley,iowa
cand251,2014,charles e grassley,iowa
cand251,2016,charles e grassley,iowa
cand253,2004,thomas richard harkin,iowa
cand253,2006,thomas richard harkin,iowa
cand253,2008,thomas richard harkin,iowa
cand253,2010,thomas richard harkin,iowa
cand253,2012,thomas richard harkin,iowa
cand253,2014,thomas richard harkin,iowa
cand253,2016,thomas richard harkin,iowa
cand255,2004,w g bill hefner,north carolina
cand260,2004,henry j hyde,illinois
cand260,2006,henry j hyde,illinois
cand267,2008,john j lafalce,new york
cand267,2014,john j lafalce,new york
cand267,2016,john j lafalce,new york
cand274,2004,george miller iii,california
cand274,2006,george miller iii,california
cand274,2008,george miller iii,california
cand274,2010,george miller iii,california
cand274,2012,george miller iii,california
cand274,2014,george miller iii,california
cand274,2016,george miller iii,california
cand282,2004,james louis oberstar,minnesota
cand282,2006,james louis oberstar,minnesota
cand282,2008,james louis oberstar,minnesota
cand282,2010,james louis oberstar,minnesota
cand282,2012,james louis oberstar,minnesota
cand284,2014,larry pressler,south dakota
cand284,2016,larry pressler,south dakota
cand295,2004,henry a waxman,california
cand295,2006,henry a waxman,california
cand295,2008,henry a waxman,california
cand295,2010,henry a waxman,california
cand295,2012,henry a waxman,california
cand295,2014,henry a waxman,california
cand295,2016,henry a waxman,california
cand303,2004,ron paul,texas
cand303,2006,ron paul,texas
cand303,2008,ron paul,texas
cand303,2010,ron paul,texas
cand310,2004,patrick j leahy,vermont
cand310,2006,patrick j leahy,vermont
cand310,2008,patrick j leahy,vermont
cand310,2010,patrick j leahy,vermont
cand310,2012,patrick j leahy,vermont
