state,district,candidate,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year,obs
alabama,3,Adia Winfrey,Rep,,1,,0,,2020,116
alabama,1,Alexander Remrey,Rep,,4132,,0,,2022,142
alabama,6,Andria Chieffo,Rep,,4133,,0,,2022,139
alabama,6,Artur Davis,Rep,,2,D000602,1,,2012,1
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2006,41
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2007,16
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2008,29
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2009,26
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2012,20
alabama,7,Artur Davis,Rep,House,2,D000602,6,,2010,97
alabama,6,Avery Vise,Rep,,3,,2,,2014,19
alabama,6,Avery Vise,Rep,,3,,2,,2014,100
alabama,4,Barbara Bobo,Rep,,4,,1,,2006,69
alabama,2,Barry Moore,Rep,House,5,M001212,0,,2020,134
alabama,2,Barry Moore,Rep,House,5,M001212,0,,2021,49
alabama,2,Barry Moore,Rep,House,5,M001212,0,,2022,134
alabama,7,Beatrice Nichols,Rep,,4134,,0,,2022,140
alabama,0,Bob Riley,Gov,,6,R000258,2,,2006,482
alabama,0,Bob Riley,Gov,,6,R000258,2,,2010,669
alabama,2,Bobby Bright,Rep,,7,B001264,2,,2008,41
alabama,2,Bobby Bright,Rep,,7,B001264,2,,2009,23
alabama,2,"Bobby Bright, Sr.",Rep,,7,B001264,2,,2012,21
alabama,2,"Bobby Bright, Sr.",Rep,,7,B001264,2,,2010,83
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2014,17
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2014,115
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2015,26
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2016,104
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2017,43
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2018,129
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2019,38
alabama,1,Bradley Byrne,Rep,House,8,B001289,6,,2020,132
alabama,5,Bud Cramer,Rep,,9,C000868,1,,2007,24
alabama,1,Burton LeFLore,Rep,,10,,2,,2014,17
alabama,1,Burton LeFLore,Rep,,10,,2,,2014,115
