,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,bonica.rid,year_bonica,candidate_bonica,state_bonica,id_lt_bonica,score,state,candidate,year
0,north dakota,1.0,earl pomeroy,Rep,,2257.0,P000422,1.0,,2012.0,42.0,0.0,cand1323,2012.0,earl ralph pomeroy,north dakota,1.0,0.97109056,,,
1,north dakota,0.0,heidei heitkamp,Sen,,2884.0,H001069,2.0,,2012.0,44.0,1.0,cand104841,2012.0,heidi heitkamp,north dakota,12.0,0.96564466,,,
2,north dakota,0.0,jack dalrymple,Gov,,2885.0,,8.0,,2012.0,44.0,2.0,cand107134,2012.0,jack & wrigley dalrymple,north dakota,15.0,0.92799234,,,
3,north dakota,0.0,john hoeven,Sen,Senate,2886.0,H001061,11.0,,2012.0,44.0,3.0,cand1606,2012.0,john hoeven,north dakota,9.0,1.0000001,,,
4,north dakota,1.0,john kline,Rep,,2088.0,K000363,1.0,,2012.0,1.0,4.0,cand103893,2012.0,brian kalk,north dakota,4.0,0.857528,,,
5,north dakota,0.0,kent conrad,Sen,Senate,2882.0,C000705,7.0,,2012.0,44.0,5.0,cand769,2012.0,gaylord kent conrad,north dakota,0.0,0.93913496,,,
6,north dakota,1.0,kevin cramer,Rep,House,2888.0,C001096,8.0,,2012.0,43.0,6.0,cand144907,2012.0,kevin cramer,north dakota,3.0,1.0,,,
7,north dakota,1.0,pam gulleson,Rep,,2891.0,,2.0,,2012.0,43.0,7.0,cand43333,2012.0,pam gulleson,north dakota,6.0,1.0000001,,,
8,north dakota,0.0,rick berg,Sen,,2892.0,B001272,2.0,,2012.0,43.0,8.0,cand1150,2012.0,richard a berg,north dakota,2.0,0.9216734,,,
9,south dakota,1.0,brian baird,Rep,,104.0,B001229,1.0,,2012.0,1.0,0.0,cand738,2012.0,tim johnson,south dakota,0.0,0.81808007,,,
10,south dakota,0.0,dennis daugaard,Gov,,3386.0,,10.0,,2012.0,69.0,1.0,cand108935,2012.0,dennis m g daugaard,south dakota,7.0,0.9796406,,,
11,south dakota,1.0,dennis rehberg,Rep,,698.0,R000571,1.0,,2012.0,1.0,2.0,cand108935,2012.0,dennis m g daugaard,south dakota,7.0,0.8705127,,,
12,south dakota,1.0,john kline,Rep,,2088.0,K000363,1.0,,2012.0,1.0,3.0,cand738,2012.0,tim johnson,south dakota,0.0,0.8683077,,,
13,south dakota,0.0,john r. thune,Sen,,3391.0,T000250,4.0,,2012.0,68.0,4.0,cand1479,2012.0,john thune,south dakota,2.0,0.9787034,,,
14,south dakota,1.0,ken calvert,Rep,,490.0,C000059,1.0,,2012.0,1.0,5.0,cand44685,2012.0,matt varilek,south dakota,4.0,0.8139531,,,
15,south dakota,1.0,kristi noem,Rep,House,3392.0,N000184,9.0,,2012.0,68.0,6.0,cand1165,2012.0,kristi lynn noem,south dakota,3.0,0.9365123,,,
16,south dakota,1.0,matt varilek,Rep,,3394.0,,2.0,,2012.0,68.0,7.0,cand44685,2012.0,matt varilek,south dakota,4.0,1.0000002,,,
17,south dakota,1.0,stephanie herseth sandlin,Rep,House,1835.0,H001037,1.0,,2012.0,64.0,8.0,cand915,2012.0,stephanie m herseth,south dakota,1.0,0.9453411,,,
18,south dakota,0.0,tim johnson,Sen,,3399.0,J000177,10.0,,2012.0,68.0,9.0,cand738,2012.0,tim johnson,south dakota,0.0,1.0000001,,,
19,oregon,4.0,alek skarlatos,Rep,,3088.0,,0.0,,2020.0,196.0,0.0,cand150006,2020.0,alek skarlatos,oregon,32.0,1.0000001,,,
20,oregon,2.0,alex spenser,Rep,,3089.0,,0.0,,2020.0,145.0,1.0,cand153576,2020.0,alex spenser,oregon,4.0,1.0000001,,,
21,oregon,5.0,amy ryan courser,Rep,,3090.0,,0.0,,2020.0,160.0,2.0,cand150448,2020.0,amy ryan courser,oregon,33.0,1.0,,,
22,oregon,1.0,christopher christensen,Rep,,3094.0,,0.0,,2020.0,171.0,3.0,cand153560,2020.0,chris c christensen,oregon,2.0,0.9490272,,,
23,oregon,2.0,cliff bentz,Rep,House,3095.0,B000668,0.0,,2020.0,145.0,4.0,cand153562,2020.0,cliff bentz,oregon,7.0,0.9999999,,,
24,oregon,3.0,earl blumenauer,Rep,House,3103.0,B000574,15.0,,2020.0,232.0,5.0,cand1425,2020.0,earl blumenauer,oregon,26.0,1.0000001,,,
25,oregon,2.0,greg walden,Rep,House,398.0,W000791,14.0,,2020.0,145.0,6.0,cand1536,2020.0,gregory p walden,oregon,22.0,0.923398,,,
26,oregon,0.0,jeff merkley,Sen,Senate,3111.0,M001176,13.0,,2020.0,905.0,7.0,cand1596,2020.0,jeffrey alan merkley,oregon,19.0,0.9599261,,,
27,oregon,0.0,jo rae perkins,Sen,,3113.0,,0.0,,2020.0,905.0,8.0,cand129310,2020.0,jo rae perkins,oregon,15.0,1.0000001,,,
28,oregon,3.0,joanna harbour,Rep,,3114.0,,0.0,,2020.0,232.0,9.0,cand153580,2020.0,joanna harbour,oregon,13.0,1.0000001,,,
29,oregon,0.0,kate brown,Gov,,3118.0,,4.0,,2020.0,905.0,10.0,cand196728,2020.0,kate brown,oregon,37.0,1.0,,,
30,oregon,5.0,kurt schrader,Rep,House,501.0,S001180,13.0,,2020.0,160.0,11.0,cand1071,2020.0,kurt schrader,oregon,24.0,1.0,,,
31,oregon,4.0,peter defazio,Rep,,3124.0,D000191,13.0,,2020.0,196.0,12.0,cand723,2020.0,peter a defazio,oregon,25.0,0.97664094,,,
32,oregon,0.0,ron wyden,Sen,,3127.0,W000779,14.0,,2020.0,905.0,13.0,cand558,2020.0,ronald lee wyden,oregon,16.0,0.9403297,,,
33,oregon,1.0,suzanne bonamici,Rep,House,3129.0,B001278,9.0,,2020.0,171.0,14.0,cand44313,2020.0,suzanne bonamici,oregon,23.0,1.0000002,,,
34,new hampshire,2.0,ann kuster,Rep,,2343.0,K000382,4.0,,2010.0,168.0,0.0,cand37909,2010.0,ann mclane kuster,new hampshire,11.0,0.9136457,,,
35,new hampshire,1.0,carol shea-porter,Rep,House,1732.0,S001170,13.0,,2010.0,170.0,1.0,cand995,2010.0,carol shea porter,new hampshire,2.0,0.98343277,,,
36,new hampshire,2.0,charles bass,Rep,,2344.0,B000220,4.0,,2010.0,171.0,2.0,cand1375,2010.0,charles f bass,new hampshire,4.0,0.9722456,,,
37,new hampshire,1.0,frank guinta,Rep,House,2349.0,G000570,8.0,,2010.0,173.0,3.0,cand1142,2010.0,frank guinta,new hampshire,8.0,1.0,,,
38,new hampshire,0.0,jeanne shaheen,Sen,Senate,2351.0,S001181,13.0,,2010.0,335.0,4.0,cand1594,2010.0,jeanne shaheen,new hampshire,6.0,0.99999994,,,
39,new hampshire,0.0,john lynch,Gov,,2357.0,,5.0,,2010.0,341.0,5.0,cand80744,2010.0,john lynch,new hampshire,27.0,1.0000002,,,
40,new hampshire,0.0,kelly ayotte,Sen,Senate,2359.0,A000368,9.0,,2010.0,336.0,6.0,cand1605,2010.0,kelly a ayotte,new hampshire,20.0,0.98379123,,,
41,new hampshire,0.0,paul hodes,Sen,,1027.0,H001043,1.0,,2010.0,201.0,7.0,cand996,2010.0,paul w hodes,new hampshire,3.0,0.97011614,,,
42,new hampshire,0.0,paul w. hodes,Sen,,1027.0,H001043,1.0,,2010.0,134.0,8.0,cand996,2010.0,paul w hodes,new hampshire,3.0,0.98917836,,,
43,oklahoma,3.0,frank lucas,Rep,,3053.0,L000491,13.0,,2018.0,91.0,0.0,cand1331,2018.0,frank d lucas,oklahoma,8.0,0.977075,,,
44,oklahoma,3.0,frankie robbins,Rep,,3054.0,,5.0,,2018.0,91.0,1.0,cand56151,2018.0,frankie lee robbins,oklahoma,26.0,0.9690784,,,
45,oklahoma,0.0,james lankford,Sen,Senate,3058.0,L000575,5.0,,2018.0,647.0,2.0,cand1155,2018.0,james paul lankford,oklahoma,6.0,0.96803784,,,
46,oklahoma,2.0,jason nichols,Rep,,3059.0,,1.0,,2018.0,127.0,3.0,cand142608,2018.0,jason nichols,oklahoma,18.0,0.99999917,,,
47,oklahoma,0.0,jim inhofe,Sen,,3057.0,I000024,9.0,,2018.0,646.0,4.0,cand737,2018.0,james m sen inhofe,oklahoma,5.0,0.9295208,,,
