,state_ces,district,candidate_ces,type,chamber,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,candidate_bonica,politician_id,state_bonica,year_bonica,id_lt_bonica,score,state,candidate,year
0,virginia,7.0,abigail spanberger,Rep,House,3819.0,S001209,1.0,,2022.0,111.0,0.0,abigail a. spanberger,9058.0,virginia,2022.0,0.0,0.98415184,,,
1,virginia,6.0,ben cline,Rep,,3829.0,C001118,1.0,,2022.0,153.0,1.0,ben l. cline,9057.0,virginia,2022.0,3.0,0.9699842,,,
2,virginia,5.0,bob good,Rep,House,3831.0,G000595,0.0,,2022.0,158.0,2.0,"robert g. ""bob"" good",10288.0,virginia,2022.0,11.0,0.9338435,,,
3,virginia,3.0,bobby scott,Rep,,3833.0,S000185,2.0,,2022.0,159.0,3.0,"robert c. ""bobby"" scott",2997.0,virginia,2022.0,5.0,0.96916914,,,
4,virginia,8.0,don beyer,Rep,,3845.0,B001292,6.0,,2022.0,147.0,4.0,donald s. beyer jr.,4354.0,virginia,2022.0,15.0,0.92531466,,,
5,virginia,4.0,donald mceachin,Rep,,3818.0,M001200,2.0,,2022.0,164.0,5.0,a. donald mceachin,9052.0,virginia,2022.0,22.0,0.96219814,,,
6,virginia,2.0,elaine luria,Rep,House,3851.0,L000591,0.0,,2022.0,156.0,6.0,elaine g. luria,8578.0,virginia,2022.0,9.0,0.97756165,,,
7,virginia,11.0,gerry connolly,Rep,,2790.0,C001078,5.0,,2022.0,133.0,7.0,"gerald e. ""gerry"" connolly",2769.0,virginia,2022.0,19.0,0.96309465,,,
8,virginia,0.0,glenn youngkin,Gov,,4538.0,,0.0,,2022.0,1646.0,8.0,abigail a. spanberger,9058.0,virginia,2022.0,0.0,0.8139791,,,
9,virginia,1.0,herbert jones jr.,Rep,,4539.0,,0.0,,2022.0,167.0,9.0,"herbert c. ""herb"" jones jr.",18323.0,virginia,2022.0,6.0,0.9648592,,,
10,virginia,10.0,hung cao,Rep,,4540.0,,0.0,,2022.0,107.0,10.0,hung cao,18584.0,virginia,2022.0,16.0,1.0000004,,,
11,virginia,11.0,james myles,Rep,,4541.0,,0.0,,2022.0,133.0,11.0,"james g. ""jim"" myles",18585.0,virginia,2022.0,18.0,0.96151793,,,
12,virginia,2.0,jen kiggans,Rep,,4542.0,K000399,0.0,,2022.0,156.0,12.0,jen a. kiggans,18325.0,virginia,2022.0,10.0,0.9636629,,,
13,virginia,6.0,jennifer lewis,Rep,,3868.0,,1.0,,2022.0,153.0,13.0,jennifer lynn lewis,9056.0,virginia,2022.0,2.0,0.9738302,,,
14,virginia,10.0,jennifer wexton,Rep,House,3869.0,W000825,1.0,,2022.0,107.0,14.0,jennifer t. wexton,8583.0,virginia,2022.0,17.0,0.9851005,,,
15,virginia,5.0,joshua throneburg,Rep,,4535.0,,0.0,,2022.0,158.0,15.0,joshua m. throneburg,18393.0,virginia,2022.0,12.0,0.98259395,,,
16,virginia,8.0,karina lipsman,Rep,,4543.0,,0.0,,2022.0,147.0,16.0,karina a. lipsman,18582.0,virginia,2022.0,14.0,0.96500206,,,
