candidate_bonica,candidate_ces,bonica.rid,Unique_Project_ID,district_bonica,district_ces,check,cycle,seat,distcyc,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
michael s lafevers,michael rogers,,-99,FL13,19,FALSE,2012,federal:house,2012_FL_13,florida,Rep,,,1,,2012,1,85,florida,109,0.8523829,,,
adia mcclellan winfrey,adia winfrey,cand144565,1,AL03,3,TRUE,2020,federal:house,2020_AL_3,alabama,Rep,,,0,,2020,116,0,alabama,10,0.90593505,,,
artur genestre davis,artur davis,cand870,2,AL07,7,TRUE,2006,federal:house,2006_AL_7,alabama,Rep,House,D000602,6,,2006,41,0,alabama,2,0.9498095,,,
artur genestre davis,artur davis,cand870,2,AL07,7,TRUE,2008,federal:house,2008_AL_7,alabama,Rep,House,D000602,6,,2008,29,0,alabama,3,0.9498095,,,
erick wright,avery vise,,3,AL02,6,FALSE,2014,federal:house,2014_AL_2,alabama,Rep,,,2,,2014,19,0,alabama,19,0.7835127,,,
bob riley,barbara bobo,,4,,4,,2006,state:governor,,alabama,Rep,,,1,,2006,69,1,alabama,17,0.8414443,,,
felix barry moore,barry moore,cand141519,5,AL02,2,TRUE,2020,federal:house,2020_AL_2,alabama,Rep,House,M001212,0,,2020,134,1,alabama,13,0.9437374,,,
bob riley,bob riley,cand1426,6,,0,,2006,state:governor,,alabama,Gov,,R000258,2,,2006,482,2,alabama,17,1,,,
bobby neal bright sr,"bobby bright, sr.",cand1028,7,AL02,2,TRUE,2010,federal:house,2010_AL_2,alabama,Rep,,B001264,2,,2010,83,2,alabama,3,0.9305937,,,
bradley roberts byrne,bradley byrne,cand160406,8,AL01,1,TRUE,2016,federal:house,2016_AL_1,alabama,Rep,House,B001289,6,,2016,104,0,alabama,8,0.95119035,,,
bradley roberts byrne,bradley byrne,cand160406,8,ALS16,1,,2016,federal:senate,2016_AL_S,alabama,Rep,House,B001289,6,,2016,104,0,alabama,8,0.95119035,,,
bradley roberts byrne,bradley byrne,cand160406,8,AL01,1,TRUE,2020,federal:house,2020_AL_1,alabama,Rep,House,B001289,6,,2020,132,2,alabama,17,0.95119035,,,
bradley roberts byrne,bradley byrne,cand160406,8,ALS20,1,,2020,federal:senate,2020_AL_S,alabama,Rep,House,B001289,6,,2020,132,2,alabama,17,0.95119035,,,
robert e cramer jr,robert e. (bud) cramer,cand1190,9,AL05,5,TRUE,2006,federal:house,2006_AL_5,alabama,Rep,House,C000868,2,,2006,82,11,alabama,3,0.9300032,,,
robert e cramer jr,robert e. (bud) cramer,cand1190,9,AL05,5,TRUE,2008,federal:house,2008_AL_5,alabama,Rep,House,C000868,2,,2008,44,11,alabama,6,0.9300032,,,
burton r leflore,burton leflore,cand160409,10,AL01,1,TRUE,2014,federal:house,2014_AL_1,alabama,Rep,,,2,,2014,17,2,alabama,17,0.9856613,,,
charles d james,"charles ""chuck"" dean james",cand45701,11,AL02,2,TRUE,2006,federal:house,2006_AL_2,alabama,Rep,,,1,,2006,74,3,alabama,10,0.90303224,,,
charlie lee holley,charlie holley,cand40134,12,AL05,5,TRUE,2012,federal:house,2012_AL_5,alabama,Rep,,,2,,2012,42,2,alabama,19,0.9664204,,,
daniel heath boman,daniel boman,cand40124,13,AL04,4,TRUE,2012,federal:house,2012_AL_4,alabama,Rep,,,2,,2012,30,3,alabama,18,0.947471,,,
danner kline,danner kline,cand140511,14,AL06,6,TRUE,2018,federal:house,2018_AL_6,alabama,Rep,,,1,,2018,145,1,alabama,6,0.9999985,,,
david putman,david j. putman,cand130247,15,AL06,6,TRUE,2016,federal:house,2016_AL_6,alabama,Rep,,,1,,2016,103,1,alabama,14,0.9698191,,,
don chamberlain,don chamberlain,cand34877,16,AL07,7,TRUE,2012,federal:house,2012_AL_7,alabama,Rep,,,3,,2012,25,4,alabama,15,1.0000001,,,
doug jones,doug jones,cand103327,17,ALS20,0,,2020,federal:senate,2020_AL_S,alabama,Sen,,J000300,1,,2020,947,3,alabama,24,1.0000001,,,
erick wright,erick wright,cand143037,18,AL02,2,TRUE,2014,federal:house,2014_AL_2,alabama,Rep,,,2,,2014,7,3,alabama,19,0.9999966,,,
gary palmer,gary palmer,cand143041,19,AL06,6,TRUE,2016,federal:house,2016_AL_6,alabama,Rep,,P000609,6,,2016,104,2,alabama,10,1,,,
gary palmer,gary palmer,cand143041,19,AL06,6,TRUE,2020,federal:house,2020_AL_6,alabama,Rep,,P000609,6,,2020,137,4,alabama,16,1,,,
glenn thompson,glenn thompson,cand1073,20,PA05,3,FALSE,2012,federal:house,2012_PA_5,pennsylvania,Rep,,T000467,2,,2012,1,19,pennsylvania,12,1,,,
greg a pierce,greg a. pierce,cand49187,21,AL03,3,TRUE,2006,federal:house,2006_AL_3,alabama,Rep,,,1,,2006,66,4,alabama,12,0.9832509,,,
james averhart,james averhart,cand149415,22,AL01,1,TRUE,2020,federal:house,2020_AL_1,alabama,Rep,,,0,,2020,132,5,alabama,34,0.99999714,,,
jay k love,jay love,cand157202,23,AL02,2,TRUE,2008,federal:house,2008_AL_2,alabama,Rep,,,1,,2008,38,2,alabama,16,0.9195205,,,
jeff sessions,jeff sessions,cand1632,25,ALS08,0,,2006,federal:senate,2006_AL_S,alabama,Sen,,S001141,12,,2006,476,5,alabama,7,1.0000001,,,
jeff sessions,jeff sessions,cand1632,25,ALS08,0,,2008,federal:senate,2008_AL_S,alabama,Sen,,S001141,12,,2008,283,3,alabama,10,1.0000001,,,
jeff sessions,jeff sessions,cand1632,25,ALS20,0,,2016,federal:senate,2016_AL_S,alabama,Sen,,S001141,12,,2016,784,3,alabama,3,1.0000001,,,
jerry lee carl jr,jerry carl,cand156940,26,AL01,1,TRUE,2022,federal:house,2022_AL_1,alabama,Rep,,C001054,0,,2022,142,6,alabama,28,0.9390947,,,
jesse t smith,jesse smith,cand186430,27,AL03,3,TRUE,2014,federal:house,2014_AL_3,alabama,Rep,,,3,,2014,11,6,alabama,21,0.96568,,,
josiah robias bonner,josiah 'jo' bonner,cand868,28,AL01,1,TRUE,2010,federal:house,2010_AL_1,alabama,Rep,,B001244,1,,2010,87,5,alabama,0,0.93571436,,,
harri anne smith,john andrew harris,,29,AL02,3,FALSE,2012,federal:house,2012_AL_2,alabama,Rep,,,2,,2012,26,9,alabama,25,0.8473256,,,
joshua steven segall,joshua  segall,cand53289,30,AL03,3,TRUE,2008,federal:house,2008_AL_3,alabama,Rep,,,1,,2008,31,5,alabama,23,0.960765,,,
kay ellen ivey,kay ivey,cand158473,31,,0,,2022,state:governor,,alabama,Gov,,,2,,2022,939,9,alabama,44,0.95339066,,,
danner kline,kaynen pellegrino,,32,AL06,6,TRUE,2020,federal:house,2020_AL_6,alabama,Rep,,,0,,2020,137,8,alabama,7,0.83864343,,,
james lee auman,lee auman,cand143954,33,AL04,4,TRUE,2018,federal:house,2018_AL_4,alabama,Rep,,,1,,2018,120,5,alabama,35,0.92128706,,,
lucy baxley,lucy baxley,cand4191,34,,0,,2006,state:governor,,alabama,Gov,,,1,,2006,485,7,alabama,16,1.0000002,,,
mallory hagan,mallory hagan,cand143953,36,AL03,3,TRUE,2018,federal:house,2018_AL_3,alabama,Rep,,,1,,2018,118,6,alabama,36,0.9999937,,,
mark hatfield bray,mark bray,cand186432,37,AL05,5,TRUE,2014,federal:house,2014_AL_5,alabama,Rep,,,2,,2014,20,7,alabama,22,0.93077236,,,
martha roby,martha roby,cand1180,38,AL02,2,TRUE,2012,federal:house,2012_AL_2,alabama,Rep,House,R000591,11,,2012,27,10,alabama,10,1,,,
michael rogers,michael rogers,cand869,40,AL03,3,TRUE,2010,federal:house,2010_AL_3,alabama,Rep,,R000575,1,,2010,88,7,alabama,1,0.99999803,,,
mo brooks,mo brooks,cand1181,41,AL05,4,FALSE,2012,federal:house,2012_AL_5,alabama,Rep,,B001274,2,,2012,5,14,alabama,12,1.0000001,,,
jonathan edward mcconnell,nathan mathis,,42,ALS16,2,,2016,federal:senate,2016_AL_S,alabama,Rep,,,1,,2016,124,8,alabama,19,0.828658,,,
nicholas bernell sparks,nicholas b. sparks,cand53293,43,AL04,4,TRUE,2008,federal:house,2008_AL_4,alabama,Rep,,,1,,2008,16,7,alabama,24,0.9561533,,,
parker griffith,parker griffith,cand193069,44,AL05,5,TRUE,2008,federal:house,2008_AL_5,alabama,Rep,House,G000557,2,,2008,44,8,alabama,5,1,,,
penny huggins bailey,penny bailey,cand40145,45,AL06,6,TRUE,2012,federal:house,2012_AL_6,alabama,Rep,,,2,,2012,33,15,alabama,22,0.9405,,,
peter s joffrion,peter joffrion,cand141046,46,AL05,5,TRUE,2018,federal:house,2018_AL_5,alabama,Rep,,,1,,2018,158,10,alabama,27,0.98795986,,,
phyllis harvey hall,phyllis harvey-hall,cand152593,47,AL02,2,TRUE,2022,federal:house,2022_AL_2,alabama,Rep,,,0,,2022,134,13,alabama,27,0.9712509,,,
daniel william lipinski,daniel william lipinski,cand6223,48,IL03,1,FALSE,2012,federal:house,2012_IL_3,illinois,Rep,,L000563,2,,2012,1,17,illinois,4,0.99999905,,,
richard c shelby,richard shelby,cand181514,49,ALS22,0,,2018,federal:senate,2018_AL_S,alabama,Sen,,S000320,6,,2018,931,11,alabama,14,0.9868201,,,
richard c shelby,richard shelby,cand181514,49,ALS22,0,,2020,federal:senate,2020_AL_S,alabama,Sen,,S000320,6,,2020,947,13,alabama,23,0.9868201,,,
rick larsen,rick larsen,cand865,50,WA02,2,TRUE,2018,federal:house,2018_WA_2,washington,Rep,,L000560,12,,2018,128,21,washington,22,0.9999933,,,
rick larsen,rick larsen,cand865,50,WA02,2,TRUE,2020,federal:house,2020_WA_2,washington,Rep,,L000560,12,,2020,121,21,washington,38,0.9999933,,,
rick larsen,rick larsen,cand865,50,WA02,2,TRUE,2022,federal:house,2022_WA_2,washington,Rep,,L000560,12,,2022,123,21,washington,44,0.9999933,,,
ricky neighbors,rick neighbors,cand141044,51,AL04,4,TRUE,2022,federal:house,2022_AL_4,alabama,Rep,,,0,,2022,125,15,alabama,7,0.88383627,,,
robert b rep aderholt,robert aderholt,cand1427,52,AL04,4,TRUE,2018,federal:house,2018_AL_4,alabama,Rep,House,A000055,11,,2018,120,12,alabama,15,0.95858425,,,
robert j bentley,robert j. bentley,cand158462,53,,0,,2016,state:governor,,alabama,Gov,,,2,,2016,783,12,alabama,22,0.9933765,,,
robert kennedy jr,"robert kennedy, jr.",cand140834,54,ALS18,1,,2018,federal:senate,2018_AL_S,alabama,Rep,,,1,,2018,129,13,alabama,0,0.9794527,,,
robert kennedy jr,"robert kennedy, jr.",cand140834,54,AL01,1,TRUE,2018,federal:house,2018_AL_1,alabama,Rep,,,1,,2018,129,13,alabama,0,0.9794527,,,
ronald ron steven crumpton,ron crumpton,cand143429,55,ALS16,0,,2016,federal:senate,2016_AL_S,alabama,Sen,,,1,,2016,779,13,alabama,15,0.9224029,,,
spencer thomas bachus,spencer bachus,cand1240,56,AL06,6,TRUE,2006,federal:house,2006_AL_6,alabama,Rep,,B000013,11,,2006,89,12,alabama,5,0.96113706,,,
spencer thomas bachus,spencer bachus,cand1240,56,AL06,6,TRUE,2008,federal:house,2008_AL_6,alabama,Rep,,B000013,11,,2008,41,12,alabama,8,0.96113706,,,
spencer thomas bachus,spencer bachus,cand1240,56,AL06,1,FALSE,2012,federal:house,2012_AL_6,alabama,Rep,,B000013,1,,2012,1,22,alabama,5,0.96113706,,,
joshua s segall,stephen segrest,,57,AL03,3,TRUE,2010,federal:house,2010_AL_3,alabama,Rep,,,1,,2010,86,14,alabama,33,0.87138414,,,
stephen walker raby,steve raby,cand34854,58,AL05,5,TRUE,2010,federal:house,2010_AL_5,alabama,Rep,,,1,,2010,123,15,alabama,18,0.9156982,,,
tabitha kay isner,tabitha isner,cand142378,59,AL02,2,TRUE,2018,federal:house,2018_AL_2,alabama,Rep,,,1,,2018,129,14,alabama,33,0.9509183,,,
terri a sewell,terri sewell,cand1093,60,AL07,7,TRUE,2018,federal:house,2018_AL_7,alabama,Rep,House,S001185,9,,2018,131,15,alabama,18,0.9854567,,,
terri a sewell,terri sewell,cand1093,60,AL07,7,TRUE,2020,federal:house,2020_AL_7,alabama,Rep,House,S001185,9,,2020,138,16,alabama,19,0.9854567,,,
robert terry everett,terry everett,cand1239,62,AL02,2,TRUE,2006,federal:house,2006_AL_2,alabama,Rep,,,3,,2006,74,13,alabama,4,0.9556694,,,
robert terry everett,terry everett,cand1239,62,AL02,2,TRUE,2008,federal:house,2008_AL_2,alabama,Rep,,,3,,2008,28,13,alabama,7,0.9556694,,,
terrycina andrea sewell,therese ford,,64,AL07,2,FALSE,2012,federal:house,2012_AL_7,alabama,Rep,,,2,,2012,28,25,alabama,14,0.82681364,,,
thomas h tuberville,tommy tuberville,cand148540,66,ALS26,0,,2022,federal:senate,2022_AL_S,alabama,Sen,,T000278,0,,2022,941,18,alabama,6,0.9243387,,,
travis w childers,travis w. childers,cand192350,67,MS01,1,TRUE,2008,federal:house,2008_MS_1,mississippi,Rep,House,C001074,1,,2008,50,12,mississippi,3,0.98744863,,,
vivian davis figures,vivian davis figures,cand106746,68,ALS08,0,,2008,federal:senate,2008_AL_S,alabama,Sen,,,1,,2008,152,14,alabama,29,1.0000001,,,
vivian sheffield beckerle,vivian sheffield beckerle,cand49172,69,AL01,1,TRUE,2006,federal:house,2006_AL_1,alabama,Rep,,,1,,2006,56,14,alabama,11,1,,,
wayne parker jr,wayne parker,cand45709,70,AL05,5,TRUE,2008,federal:house,2008_AL_5,alabama,Rep,,,1,,2008,39,15,alabama,14,0.96607834,,,
willie will dr boyd jr,"will boyd, jr.",cand128930,71,AL05,5,TRUE,2016,federal:house,2016_AL_5,alabama,Rep,,,1,,2016,117,15,alabama,13,0.9237286,,,
william g barnes,william g. barnes,cand103328,72,ALS10,0,,2010,federal:senate,2010_AL_S,alabama,Sen,,,1,,2010,350,18,alabama,34,0.9956244,,,
al gross,al gross,cand150176,73,AKS20,0,,2020,federal:senate,2020_AK_S,alaska,Sen,,,0,,2020,115,0,alaska,6,1,,,
alyse galvin,alyse galvin,cand143947,74,AK01,1,TRUE,2018,federal:house,2018_AK_1,alaska,Rep,,,1,,2018,97,0,alaska,5,1,,,
alyse galvin,alyse galvin,cand143947,74,AK01,1,TRUE,2020,federal:house,2020_AK_1,alaska,Rep,,,1,,2020,115,1,alaska,2,1,,,
william m bill & mallott walker,bill walker,cand148033,75,,0,,2018,state:governor,,alaska,Gov,,,4,,2018,97,1,alaska,9,0.8683685,,,
dan sullivan,dan sullivan,cand148091,76,AKS14,0,,2014,federal:senate,2014_AK_S,alaska,Sen,,S001198,4,,2014,18,0,alaska,9,1,,,
dan sullivan,dan sullivan,cand148091,76,AKS20,0,,2016,federal:senate,2016_AK_S,alaska,Sen,,S001198,4,,2016,113,1,alaska,6,1,,,
dan sullivan,dan sullivan,cand148091,76,AKS20,0,,2020,federal:senate,2020_AK_S,alaska,Sen,,S001198,4,,2020,115,2,alaska,5,1,,,
dan sullivan,dan sullivan,cand148091,76,AKS26,0,,2022,federal:senate,2022_AK_S,alaska,Sen,,S001198,4,,2022,135,0,alaska,0,1,,,
diane e benson,diane benson,cand141333,77,AK01,0,FALSE,2006,federal:house,2006_AK_1,alaska,Rep,,,1,,2006,129,0,alaska,5,0.9733305,,,
donald e young,don e. young,cand210,78,AK01,0,FALSE,2008,federal:house,2008_AK_1,alaska,Rep,,Y000033,1,,2008,68,0,alaska,1,0.9325552,,,
ethan a berkowitz,ethan a. berkowitz,cand53266,79,AK01,0,FALSE,2008,federal:house,2008_AK_1,alaska,Rep,,,1,,2008,51,1,alaska,7,0.9845726,,,
forrest dunbar,forest dunbar,cand162852,80,AK01,1,TRUE,2014,federal:house,2014_AK_1,alaska,Rep,,,2,,2014,18,2,alaska,6,0.92446655,,,
frank h murkowski,frank murkowski,cand574,81,AKS98,0,,2006,federal:senate,2006_AK_S,alaska,Gov,,M001085,1,,2006,130,2,alaska,2,0.9842035,,,
frank h murkowski,frank murkowski,cand574,81,,0,,2006,state:governor,,alaska,Gov,,M001085,1,,2006,130,2,alaska,2,0.9842035,,,
harry t crawford jr,"harry crawford, jr.",cand143800,82,AK01,0,FALSE,2010,federal:house,2010_AK_1,alaska,Rep,,,1,,2010,132,1,alaska,5,0.9701606,,,
joseph w miller,joseph miller,cand103310,83,AKS10,0,,2010,federal:senate,2010_AK_S,alaska,Sen,,,1,,2010,74,3,alaska,11,0.98484,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2012,federal:senate,2012_AK_S,alaska,Sen,Senate,M001153,13,,2012,40,1,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2014,federal:senate,2014_AK_S,alaska,Sen,Senate,M001153,13,,2014,18,3,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2016,federal:senate,2016_AK_S,alaska,Sen,Senate,M001153,13,,2016,114,3,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2018,federal:senate,2018_AK_S,alaska,Sen,Senate,M001153,13,,2018,97,4,alaska,2,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2020,federal:senate,2020_AK_S,alaska,Sen,Senate,M001153,13,,2020,115,4,alaska,3,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2022,federal:senate,2022_AK_S,alaska,Sen,Senate,M001153,13,,2022,135,1,alaska,17,1.0000002,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2010,federal:senate,2010_AK_S,alaska,Sen,Senate,B001265,9,,2010,133,4,alaska,4,1,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2012,federal:senate,2012_AK_S,alaska,Sen,Senate,B001265,9,,2012,40,2,alaska,2,1,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2014,federal:senate,2014_AK_S,alaska,Sen,Senate,B001265,9,,2014,18,4,alaska,2,1,,,
michael j mike dunleavy,mike dunleavy,cand122798,86,,0,,2022,state:governor,,alaska,Gov,,,0,,2022,135,3,alaska,27,0.9637164,,,
ray metcalfe,ray metcalfe,cand106725,87,AKS16,0,,2016,federal:senate,2016_AK_S,alaska,Sen,,,1,,2016,111,4,alaska,10,1,,,
sarah palin,sarah palin,cand210623,88,AK01,1,TRUE,2022,federal:house,2022_AK_1,alaska,Rep,,,0,,2022,135,5,alaska,14,1.0000002,,,
scott mcadams,scott mcadams,cand103311,89,AKS10,0,,2010,federal:senate,2010_AK_S,alaska,Sen,,,1,,2010,72,5,alaska,12,1,,,
sean r g parnell,sean parnell,cand141339,90,AK01,0,FALSE,2010,federal:house,2010_AK_1,alaska,Gov,,,8,,2010,134,7,alaska,9,0.9622529,,,
sean r g parnell,sean parnell,cand141339,90,,0,,2010,state:governor,,alaska,Gov,,,8,,2010,134,7,alaska,9,0.9622529,,,
sharon marie cissna,sharon cissna,cand40078,91,AK01,1,TRUE,2012,federal:house,2012_AK_1,alaska,Rep,,,2,,2012,39,4,alaska,4,0.9637183,,,
steve lindbeck,steve lindbeck,cand136988,92,AK,1,,2016,federal:house,2016_AK_NA,alaska,Rep,,,1,,2016,115,5,alaska,9,1,,,
ted stevens,ted stevens,cand138,93,AKS08,0,,2006,federal:senate,2006_AK_S,alaska,Sen,,S000888,3,,2006,127,5,alaska,0,1,,,
tony g knowles,tony knowles,cand105263,94,AKS04,0,,2006,federal:senate,2006_AK_S,alaska,Gov,,,1,,2006,130,6,alaska,6,0.9621414,,,
tony g knowles,tony knowles,cand105263,94,,0,,2006,state:governor,,alaska,Gov,,,1,,2006,130,6,alaska,6,0.9621414,,,
alcee l hastings,alcee l. hastings,cand1276,95,FL20,18,FALSE,2012,federal:house,2012_FL_20,florida,Rep,,H000324,3,,2012,6,4,florida,19,0.9849746,,,
andy biggs,andy biggs,cand160291,96,AZ05,5,TRUE,2018,federal:house,2018_AZ_5,arizona,Rep,,B001302,3,,2018,181,0,arizona,21,0.99999815,,,
andy tobin,andy tobin,cand160309,97,AZ01,1,TRUE,2014,federal:house,2014_AZ_1,arizona,Rep,,,2,,2014,18,0,arizona,10,0.99999994,,,
andy tobin,andy tobin,cand160309,97,1,1,,2014,state:lower,,arizona,Rep,,,2,,2014,18,0,arizona,10,0.99999994,,,
