candidate_bonica,candidate_ces,politician_id,Unique_Project_ID,office_seat_name,district,cycle,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
w. michael trout,michael rogers,,-99,District 21,19,2012,florida,Rep,,,1,,2012,1,85,florida,10,0.84368855,,,
adia mcclellan winfrey,adia winfrey,10347,1,District 3,3,2020,alabama,Rep,,,0,,2020,116,0,alabama,6,0.9058239,,,
artur davis,artur davis,14807,2,District 7,7,2008,alabama,Rep,House,D000602,6,,2008,29,0,alabama,4,1.0000001,,,
artur davis,artur davis,14807,2,District 7,7,2006,alabama,Rep,House,D000602,6,,2006,41,0,alabama,11,1.0000001,,,
robert b. aderholt,avery vise,,3,District 4,6,2014,alabama,Rep,,,2,,2014,19,0,alabama,4,0.79086953,,,
barbara bobo,barbara bobo,15742,4,District 4,4,2006,alabama,Rep,,,1,,2006,69,1,alabama,8,1,,,
barry moore,barry moore,10346,5,District 2,2,2022,alabama,Rep,House,M001212,0,,2022,134,2,alabama,5,1.0000008,,,
bob riley,bob riley,78,6,,0,2006,alabama,Gov,,R000258,2,,2006,482,2,alabama,13,0.99999994,,,
bobby n. bright,bobby bright,8375,7,District 2,2,2008,alabama,Rep,,B001264,2,,2008,41,1,alabama,3,0.9538614,,,
bradley byrne,bradley byrne,3142,8,District 1,1,2016,alabama,Rep,House,B001289,6,,2016,104,0,alabama,0,1,,,
bradley byrne,bradley byrne,3142,8,District 1,1,2014,alabama,Rep,House,B001289,6,,2014,17,1,alabama,3,1,,,
robert e. cramer,robert e. (bud) cramer,13203,9,District 5,5,2006,alabama,Rep,House,C000868,2,,2006,82,11,alabama,6,0.9578587,,,
burton r. leflore,burton leflore,3930,10,District 1,1,2014,alabama,Rep,,,2,,2014,17,2,alabama,2,0.96402884,,,
charles d james,"charles ""chuck"" dean james",15311,11,District 2,2,2006,alabama,Rep,,,1,,2006,74,3,alabama,4,0.9030323,,,
charlie l. holley,charlie holley,5558,12,District 5,5,2012,alabama,Rep,,,2,,2012,42,2,alabama,6,0.9759517,,,
daniel h. boman,daniel boman,5552,13,District 4,4,2012,alabama,Rep,,,2,,2012,30,3,alabama,0,0.97769606,,,
danner kline,danner kline,8712,14,District 6,6,2018,alabama,Rep,,,1,,2018,145,1,alabama,11,0.9999974,,,
david j. putman,david j. putman,16113,15,District 6,6,2016,alabama,Rep,,,1,,2016,103,1,alabama,7,1.0000001,,,
donald n. chamberlain,don chamberlain,5554,16,District 7,7,2010,alabama,Rep,,,3,,2010,94,3,alabama,0,0.91114324,,,
gordon douglas jones,doug jones,8316,17,Class II,0,2020,alabama,Sen,,J000300,1,,2020,947,3,alabama,11,0.91659915,,,
erick wright,erick wright,3942,18,District 2,2,2014,alabama,Rep,,,2,,2014,7,3,alabama,1,1,,,
gary palmer,gary palmer,3935,19,District 6,6,2022,alabama,Rep,,P000609,6,,2022,139,5,alabama,12,1.0000002,,,
"glenn ""g.t."" thompson",glenn thompson,3019,20,District 5,5,2014,pennsylvania,Rep,House,T000467,10,,2014,31,12,pennsylvania,4,0.96480274,,,
greg a. pierce,greg a. pierce,15741,21,District 3,3,2006,alabama,Rep,,,1,,2006,66,4,alabama,0,0.99999994,,,
james t. averhart,james averhart,10343,22,District 1,1,2020,alabama,Rep,,,0,,2020,132,5,alabama,9,0.9737386,,,
jay love,jay love,9970,23,District 2,2,2008,alabama,Rep,,,1,,2008,38,2,alabama,2,0.99999994,,,
jeff sessions,jeff sessions,1536,25,Class II,0,2014,alabama,Sen,,S001141,12,,2014,106,5,alabama,12,1.0000001,,,
jeff sessions,jeff sessions,1536,25,Class II,0,2008,alabama,Sen,,S001141,12,,2008,283,3,alabama,12,1.0000001,,,
jerry carl,jerry carl,10344,26,District 1,1,2022,alabama,Rep,,C001054,0,,2022,142,6,alabama,8,1.0000002,,,
jesse t. smith,jesse smith,3938,27,District 3,3,2016,alabama,Rep,,,3,,2016,105,4,alabama,9,0.9727473,,,
jesse t. smith,jesse smith,3938,27,District 3,3,2014,alabama,Rep,,,3,,2014,11,6,alabama,5,0.9727473,,,
josiah robins bonner,josiah 'jo' bonner,5553,28,District 1,1,2010,alabama,Rep,,B001244,1,,2010,87,5,alabama,2,0.94282365,,,
john andrew harris,john andrew harris,5557,29,District 3,3,2012,alabama,Rep,,,2,,2012,26,9,alabama,10,1,,,
joshua segall,joshua  segall,16109,30,District 3,3,2008,alabama,Rep,,,1,,2008,31,5,alabama,10,0.9855999,,,
kay ivey,kay ivey,8621,31,,0,2022,alabama,Gov,,,2,,2022,939,9,alabama,24,1.0000005,,,
